,product_x,product_y,weight
0,29991,39685,1
1,13303,45511,1
2,27885,36600,1
3,13303,44956,1
4,13303,44824,1
5,13303,44274,1
6,27885,36601,1
7,13303,43298,1
8,13303,42781,1
9,27885,37979,1
10,13303,42398,1
11,27885,38251,1
12,27885,38347,1
13,27885,38727,1
14,27885,39237,1
15,13303,40844,1
16,13303,40181,1
17,13303,40154,1
18,27885,39312,1
19,27885,40638,1
20,27885,40905,1
21,13303,36600,1
22,13303,46026,1
23,27885,35499,1
24,13303,48939,1
25,27885,35419,1
26,27885,32702,1
27,13595,26660,1
28,13595,25413,1
29,13595,22468,1
30,13595,22078,1
31,13595,21948,1
32,13595,21473,1
33,13595,16753,1
34,13595,14348,1
35,13595,13998,1
36,27885,42058,1
37,13581,49031,1
38,13581,33153,1
39,27885,33665,1
40,13581,31081,1
41,13581,27840,1
42,13581,13911,1
43,27885,33684,1
44,13420,38444,1
45,27885,34048,1
46,27885,35149,1
47,13420,33001,1
48,13581,42781,1
49,13595,28238,1
50,13303,36047,1
51,27885,42329,1
52,27885,46074,1
53,13303,18052,1
54,13303,17994,1
55,27885,46311,1
56,13303,17415,1
57,13303,17271,1
58,27885,46389,1
59,27885,46606,1
60,13303,16139,1
61,13303,15720,1
62,27885,47041,1
63,27885,47425,1
64,13303,13998,1
65,13303,13911,1
66,27885,47860,1
67,13303,13707,1
68,13226,49544,1
69,13226,49167,1
70,13226,47860,1
71,27885,48282,1
72,13226,45294,1
73,13303,21466,1
74,13303,21715,1
75,13303,21735,1
76,13303,21883,1
77,13303,33692,1
78,13303,33665,1
79,27885,42521,1
80,13303,32063,1
81,13303,31154,1
82,13303,31036,1
83,27885,43298,1
84,13303,29610,1
85,13303,29476,1
86,27885,43390,1
87,13303,35499,1
88,27885,43892,1
89,27885,45006,1
90,13303,27885,1
91,13303,27857,1
92,13303,27652,1
93,27885,45294,1
94,13303,25349,1
95,27885,45998,1
96,13303,23009,1
97,13303,22468,1
98,27885,46026,1
99,27885,44893,1
100,13595,29437,1
101,13595,30704,1
102,13595,32502,1
103,13745,40905,1
104,13745,40811,1
105,13745,39547,1
106,27814,39685,1
107,13745,35419,1
108,13745,34568,1
109,13745,33153,1
110,27814,40087,1
111,13745,30036,1
112,27814,46694,1
113,13745,28578,1
114,13745,28155,1
115,13745,25413,1
116,13745,24968,1
117,13745,24619,1
118,13745,23460,1
119,13745,21974,1
120,13745,19803,1
121,13745,17994,1
122,13745,17330,1
123,27840,28155,1
124,13745,41131,1
125,13745,42781,1
126,13745,43852,1
127,13745,44470,1
128,27652,49320,1
129,13895,18899,1
130,13895,18561,1
131,13895,17415,1
132,27814,29020,1
133,13895,16683,1
134,27814,29991,1
135,13895,14385,1
136,13777,46694,1
137,13777,39685,1
138,13745,16326,1
139,13777,31154,1
140,13777,29991,1
141,13777,29020,1
142,13777,27814,1
143,13777,21338,1
144,13777,18899,1
145,13777,18052,1
146,27814,31145,1
147,13745,45511,1
148,13745,45432,1
149,27814,31154,1
150,13777,31145,1
151,13745,15720,1
152,27840,36885,1
153,27840,41131,1
154,27885,28246,1
155,27885,28442,1
156,27885,28573,1
157,13707,20195,1
158,27885,28578,1
159,27885,29020,1
160,13707,16139,1
161,13707,15248,1
162,13707,14385,1
163,27885,29476,1
164,13707,24362,1
165,13595,46088,1
166,27885,29723,1
167,13595,42268,1
168,13595,41539,1
169,13595,41131,1
170,13595,39350,1
171,27885,31036,1
172,13595,36616,1
173,13595,36425,1
174,13595,33665,1
175,27885,32502,1
176,27885,29610,1
177,27885,48298,1
178,27885,28155,1
179,13707,29786,1
180,27840,42781,1
181,13707,48298,1
182,13707,47795,1
183,13707,45511,1
184,13707,45190,1
185,13707,43298,1
186,13707,42781,1
187,13707,41391,1
188,27840,43615,1
189,13707,40844,1
190,27857,49544,1
191,27840,48241,1
192,27840,49031,1
193,27857,28504,1
194,27857,35419,1
195,13707,35499,1
196,27857,36173,1
197,27857,44470,1
198,13707,33448,1
199,27857,45432,1
200,13707,32874,1
201,27857,46866,1
202,13707,39350,1
203,13895,21212,1
204,27885,49167,1
205,13226,33010,1
206,28155,40905,1
207,28155,41415,1
208,28155,41563,1
209,28155,42343,1
210,28155,43912,1
211,28155,46026,1
212,28155,46311,1
213,28155,46715,1
214,28155,46808,1
215,12013,44871,1
216,12013,44824,1
217,28155,48024,1
218,12013,44470,1
219,12013,44438,1
220,12013,44161,1
221,28155,48984,1
222,12013,43677,1
223,28155,49320,1
224,28238,28697,1
225,12013,42965,1
226,28238,29880,1
227,12013,46701,1
228,12013,46784,1
229,12013,46808,1
230,12013,46866,1
231,12129,21883,1
232,12129,20231,1
233,12129,19803,1
234,28155,35149,1
235,12129,16139,1
236,12129,15720,1
237,12129,15520,1
238,12129,14348,1
239,12013,49606,1
240,28155,36173,1
241,12013,42708,1
242,12013,49349,1
243,12013,49031,1
244,28155,36885,1
245,12013,48713,1
246,28155,37075,1
247,28155,38165,1
248,28155,39350,1
249,12013,47350,1
250,28155,39685,1
251,28155,40576,1
252,28155,40594,1
253,28155,36616,1
254,12129,26566,1
255,12013,42635,1
256,28238,31036,1
257,12013,36984,1
258,12013,36674,1
259,28238,45511,1
260,28238,45998,1
261,28238,46026,1
262,28238,46311,1
263,28238,46995,1
264,28238,47795,1
265,28238,48241,1
266,28246,28870,1
267,12013,35149,1
268,12013,35032,1
269,12013,34579,1
270,28246,31154,1
271,12013,34048,1
272,12013,33684,1
273,12013,33307,1
274,28246,32565,1
275,28246,45190,1
276,12013,33001,1
277,28246,46311,1
278,12013,37075,1
279,28238,43390,1
280,28238,40364,1
281,28238,39685,1
282,12013,42329,1
283,12013,42263,1
284,28238,31081,1
285,28238,31182,1
286,12013,41924,1
287,12013,41707,1
288,28238,32502,1
289,28238,36616,1
290,12013,41241,1
291,12013,40901,1
292,28238,30036,1
293,12013,40576,1
294,12013,40154,1
295,28238,37772,1
296,12013,40077,1
297,12013,39933,1
298,12013,39785,1
299,12013,39685,1
300,28238,37855,1
301,28238,38165,1
302,28238,38569,1
303,12013,39184,1
304,12013,40364,1
305,28155,34568,1
306,12129,28022,1
307,28155,32329,1
308,13182,16139,1
