,product_x,product_y,weight
0,63,493,1
1,16508,36485,1
2,16508,36250,1
3,16508,34292,1
4,16508,33204,1
5,16508,33060,1
6,16508,32911,1
7,16508,32337,1
8,16508,37318,1
9,16508,31990,1
10,16508,30542,1
11,16508,29319,1
12,16508,28628,1
13,16508,27882,1
14,16508,27277,1
15,16508,26278,1
16,16508,24542,1
17,16508,31469,1
18,16508,38192,1
19,16508,38223,1
20,16508,39012,1
21,16508,44471,1
22,16508,44463,1
23,16508,43798,1
24,16508,43788,1
25,16508,43239,1
26,16508,42654,1
27,16508,41559,1
28,16508,41475,1
29,16508,41326,1
30,16508,40982,1
31,16508,40889,1
32,16508,40863,1
33,16508,40421,1
34,16508,39850,1
35,16508,39578,1
36,16508,39442,1
37,16508,39227,1
38,16508,23991,1
39,16508,44524,1
40,16508,22726,1
41,16508,21565,1
42,16507,37003,1
43,16507,36976,1
44,16507,36313,1
45,16507,36142,1
46,16507,34249,1
47,16507,31990,1
48,16507,31282,1
49,16507,37824,1
50,16507,29557,1
51,16507,27061,1
52,16507,25055,1
53,16507,21162,1
54,16507,20957,1
55,16507,19659,1
56,16507,19046,1
57,16507,18487,1
58,16507,28311,1
59,16507,38984,1
60,16507,39035,1
61,16507,39353,1
62,16508,20814,1
63,16508,20546,1
64,16508,19659,1
65,16508,19248,1
66,16508,18393,1
67,16508,17964,1
68,16507,49315,1
69,16507,48472,1
70,16507,47167,1
71,16507,46807,1
72,16507,45767,1
73,16507,45309,1
74,16507,43764,1
75,16507,42533,1
76,16507,41129,1
77,16507,40449,1
78,16507,39468,1
79,16508,22122,1
80,16508,44787,1
81,16508,45309,1
82,16508,46441,1
83,16560,49201,1
84,16560,48589,1
85,16560,48263,1
86,16560,47996,1
87,16560,47507,1
88,16560,47228,1
89,16560,47052,1
90,16560,49315,1
91,16560,45767,1
92,16560,44524,1
93,16560,43788,1
94,16560,43764,1
95,16560,43138,1
96,16560,42887,1
97,16560,42654,1
98,16560,40449,1
99,16560,44864,1
100,16605,16737,1
101,16605,17261,1
102,16605,17738,1
103,16605,27312,1
104,16605,26686,1
105,16605,26243,1
106,16605,24011,1
107,16605,23527,1
108,16605,22969,1
109,16605,22210,1
110,16605,22122,1
111,16605,20979,1
112,16605,20846,1
113,16605,20821,1
114,16605,20817,1
115,16605,20495,1
116,16605,19867,1
117,16605,19338,1
118,16605,19047,1
119,16605,19044,1
120,16560,39850,1
121,16560,39748,1
122,16560,39643,1
123,16560,38936,1
124,16560,23527,1
125,16560,20814,1
126,16560,20546,1
127,16560,20442,1
128,16560,19659,1
129,16560,19248,1
130,16560,18629,1
131,16560,18393,1
132,16560,17655,1
133,16560,17089,1
134,16560,16697,1
135,16508,49583,1
136,16508,49315,1
137,16508,48589,1
138,16508,48111,1
139,16508,48047,1
140,16508,47052,1
141,16560,23931,1
142,16507,17170,1
143,16560,24011,1
144,16560,24613,1
145,16560,38141,1
146,16560,37187,1
147,16560,36976,1
148,16560,36500,1
149,16560,33321,1
150,16560,32619,1
151,16560,31282,1
152,16560,30941,1
153,16560,30735,1
154,16560,30067,1
155,16560,29133,1
156,16560,28997,1
157,16560,28122,1
158,16560,27402,1
159,16560,27271,1
160,16560,27098,1
161,16560,26243,1
162,16560,24475,1
163,16466,49337,1
164,16466,48476,1
165,16466,48407,1
166,16384,28269,1
167,16384,27061,1
168,16384,26082,1
169,16384,26080,1
170,16384,24089,1
171,16384,24044,1
172,16384,23991,1
173,16384,28628,1
174,16384,23293,1
175,16384,22539,1
176,16384,21679,1
177,16384,21633,1
178,16384,20546,1
179,16384,20442,1
180,16384,20380,1
181,16384,19867,1
182,16384,23266,1
183,16384,29319,1
184,16384,30529,1
185,16384,30542,1
186,16384,37727,1
187,16384,37289,1
188,16384,36500,1
189,16384,36375,1
190,16384,36313,1
191,16384,36239,1
192,16384,35211,1
193,16384,35086,1
194,16384,34311,1
195,16384,33748,1
196,16384,33144,1
197,16384,32911,1
198,16384,32619,1
199,16384,32106,1
200,16384,31542,1
201,16384,31469,1
202,16384,31282,1
203,16384,19787,1
204,16384,19659,1
205,16384,18393,1
206,16384,18384,1
207,16224,38100,1
208,16224,37845,1
209,16224,37671,1
210,16224,36794,1
211,16224,36485,1
212,16224,34880,1
213,16224,34745,1
214,16224,33503,1
215,16224,33196,1
216,16224,31469,1
217,16224,30192,1
218,16224,29875,1
219,16224,29834,1
220,16224,27882,1
221,16224,27312,1
222,16224,25148,1
223,16224,24096,1
224,16224,38425,1
225,16384,37872,1
226,16224,38984,1
227,16224,42345,1
228,16384,18301,1
229,16384,17442,1
230,16384,17408,1
231,16384,17261,1
232,16384,17247,1
233,16384,16993,1
234,16384,16981,1
235,16384,16697,1
236,16384,16605,1
237,16384,16507,1
238,16224,49044,1
239,16224,48476,1
240,16224,48315,1
241,16224,48152,1
242,16224,45795,1
243,16224,45309,1
244,16224,44950,1
245,16224,40421,1
246,16605,29834,1
247,16384,38214,1
248,16384,38285,1
249,16466,31469,1
250,16466,29319,1
251,16466,28628,1
252,16466,28378,1
253,16466,28316,1
254,16466,26278,1
255,16466,24739,1
256,16466,34249,1
257,16466,24413,1
258,16466,23293,1
259,16466,21688,1
260,16466,20380,1
261,16466,19867,1
262,16466,19659,1
263,16466,19046,1
264,16466,16560,1
265,16466,23527,1
266,16466,34581,1
267,16466,35211,1
268,16466,36142,1
269,16466,47888,1
270,16466,47049,1
271,16466,46350,1
272,16466,45045,1
273,16466,44731,1
274,16466,44471,1
275,16466,43764,1
276,16466,43421,1
277,16466,42345,1
278,16466,41375,1
279,16466,40449,1
280,16466,39748,1
281,16466,39643,1
282,16466,37824,1
283,16466,36500,1
284,16466,36375,1
285,16466,36340,1
286,16466,16508,1
287,16431,36441,1
288,16429,48476,1
289,16429,47228,1
290,16384,45309,1
291,16384,44971,1
292,16384,44672,1
293,16384,44557,1
294,16384,44426,1
295,16384,44009,1
296,16384,43764,1
297,16384,42430,1
298,16384,41559,1
299,16384,40889,1
300,16384,40882,1
301,16384,40863,1
302,16384,40449,1
303,16384,40421,1
304,16384,40145,1
305,16384,39820,1
306,16384,39578,1
307,16384,46082,1
308,16384,38227,1
309,16384,47049,1
310,16384,48263,1
311,16429,47052,1
312,16429,45732,1
313,16429,43875,1
314,16429,43421,1
315,16429,39468,1
316,16429,34134,1
317,16429,33356,1
318,16429,33204,1
319,16429,28529,1
320,16429,26243,1
321,16429,24214,1
322,16429,22122,1
323,16429,21737,1
324,16429,20631,1
325,16429,18487,1
326,16429,17738,1
327,16429,16560,1
328,16384,48133,1
329,16605,30192,1
330,16605,30945,1
331,16605,31469,1
332,17170,26082,1
333,17170,26080,1
334,17170,25943,1
335,17170,25480,1
336,17170,25050,1
337,17170,24475,1
338,17170,23991,1
339,17170,26562,1
340,17170,22727,1
341,17170,22522,1
342,17170,22470,1
343,17170,22448,1
344,17170,20979,1
345,17170,19659,1
346,17170,19627,1
347,17170,19248,1
348,17170,22599,1
349,17170,27250,1
350,17170,28523,1
351,17170,29156,1
352,17170,43788,1
353,17170,43764,1
354,17170,42345,1
355,17170,41954,1
356,17170,40982,1
357,17170,40421,1
358,17170,39578,1
359,17170,39353,1
360,17170,38223,1
361,17170,37318,1
362,17170,36313,1
363,17170,34581,1
364,17170,32989,1
365,17170,32106,1
366,17170,32080,1
367,17170,31542,1
368,17170,31282,1
369,17170,17408,1
370,17170,17247,1
371,17089,49583,1
372,17089,47179,1
373,17089,20490,1
374,17085,41129,1
375,16993,49044,1
376,16993,47228,1
377,16993,45309,1
378,16993,44864,1
379,16993,44463,1
380,16993,43875,1
381,16993,43239,1
382,16993,41954,1
383,16993,38936,1
384,16993,38389,1
385,16993,37048,1
386,16993,36794,1
387,16993,35086,1
388,16993,34540,1
389,16993,34311,1
390,17089,22122,1
391,17170,43923,1
392,17089,22447,1
393,17089,23822,1
394,17089,44971,1
395,17089,44864,1
396,17089,38985,1
397,17089,38936,1
398,17089,38425,1
399,17089,38192,1
400,17089,34311,1
401,17089,33519,1
402,17089,33144,1
403,17089,32647,1
404,17089,31955,1
405,17089,31469,1
406,17089,29557,1
407,17089,28997,1
408,17089,28378,1
409,17089,25943,1
410,17089,24613,1
411,17089,23025,1
412,16993,34134,1
413,17170,44471,1
414,17170,44731,1
415,17247,46350,1
416,17247,44471,1
417,17247,43798,1
418,17247,42533,1
419,17247,42430,1
420,17247,41375,1
421,17247,40889,1
422,17247,46352,1
423,17247,39850,1
424,17247,39427,1
425,17247,38425,1
426,17247,38141,1
427,17247,36976,1
428,17247,36441,1
429,17247,36142,1
430,17247,35364,1
431,17247,39468,1
432,17247,46807,1
433,17247,47049,1
434,17247,48442,1
435,17261,29479,1
436,17261,29391,1
437,17261,28987,1
438,17261,27277,1
439,17261,26284,1
440,17261,26080,1
441,17261,24834,1
442,17261,23025,1
443,17261,22969,1
444,17261,22210,1
445,17261,20861,1
446,17261,20817,1
447,17261,19338,1
448,17261,18487,1
449,17261,17738,1
450,17247,49215,1
451,17247,48589,1
452,17247,35302,1
453,17247,33748,1
454,17247,33503,1
455,17247,33335,1
456,17247,21737,1
457,17247,20380,1
458,17232,48469,1
459,17232,37845,1
460,17232,37318,1
461,17232,32162,1
462,17232,30313,1
463,17170,49576,1
464,17170,49315,1
465,17170,48469,1
466,17170,48407,1
467,17170,48152,1
468,17170,47212,1
469,17170,46180,1
470,17170,46050,1
471,17170,45767,1
472,17170,45630,1
473,17247,22599,1
474,17170,44524,1
475,17247,22969,1
476,17247,24413,1
477,17247,32989,1
478,17247,32018,1
479,17247,31955,1
480,17247,31657,1
481,17247,31504,1
482,17247,31469,1
483,17247,30542,1
484,17247,30067,1
485,17247,29156,1
486,17247,28523,1
487,17247,28316,1
488,17247,28311,1
489,17247,27098,1
490,17247,26082,1
491,17247,25530,1
492,17247,24542,1
493,17247,24475,1
494,17247,23025,1
495,16224,24044,1
496,16993,29875,1
497,16993,26686,1
498,16697,45309,1
499,16697,44471,1
500,16697,44426,1
501,16697,43798,1
502,16697,43764,1
503,16697,42654,1
504,16697,42533,1
505,16697,45620,1
506,16697,40863,1
507,16697,39035,1
508,16697,38425,1
509,16697,38223,1
510,16697,38214,1
511,16697,38192,1
512,16697,36375,1
