,product_x,product_y,weight
0,49621,49640,1
1,12347,40348,1
2,24235,38582,1
3,24235,37950,1
4,12347,46842,1
5,12376,30709,1
6,12376,33351,1
7,12431,16526,1
8,12431,16868,1
9,24235,35168,1
10,12431,22115,1
11,12431,26856,1
12,12347,35276,1
13,12431,29820,1
14,24235,34620,1
15,24235,34072,1
16,12431,39747,1
17,12431,46227,1
18,12476,14875,1
19,12476,17419,1
20,12476,18212,1
21,12476,18362,1
22,12476,18838,1
23,12476,23888,1
24,24235,33508,1
25,12431,30678,1
26,12476,25686,1
27,24235,38775,1
28,24235,38827,1
29,12258,37626,1
30,12258,38108,1
31,24235,43432,1
32,12258,40228,1
33,24235,42847,1
34,12258,42360,1
35,24235,41282,1
36,12258,42508,1
37,12258,44230,1
38,12258,44970,1
39,12258,45367,1
40,12347,29615,1
41,12258,46558,1
42,24235,40299,1
43,12258,48610,1
44,12258,49621,1
45,12347,13654,1
46,12347,15869,1
47,12347,16419,1
48,12347,17044,1
49,24235,40228,1
50,12347,20171,1
51,24235,39097,1
52,12347,28515,1
53,12258,48222,1
54,24235,43886,1
55,24235,33468,1
56,12476,28814,1
57,24203,40348,1
58,12499,48103,1
59,24203,39613,1
60,24203,35778,1
61,12597,13702,1
62,12597,14486,1
63,24203,34968,1
64,12597,16868,1
65,24203,32545,1
66,24203,32315,1
67,12597,17985,1
68,12499,38988,1
69,12597,18027,1
70,24203,29982,1
71,24203,27554,1
72,24203,27435,1
73,12597,20834,1
74,24160,48415,1
75,12597,21841,1
76,24160,46516,1
77,12597,24062,1
78,12597,25832,1
79,12597,26315,1
80,24160,45552,1
81,24203,30282,1
82,24235,33195,1
83,24203,48183,1
84,12499,36117,1
85,12476,29080,1
86,12476,29553,1
87,12476,30407,1
88,24235,32982,1
89,24235,32603,1
90,12476,37752,1
91,12476,40348,1
92,12476,45005,1
93,12476,45089,1
94,24235,31678,1
95,24235,30764,1
96,24227,48628,1
97,24235,30700,1
98,12488,44310,1
99,12499,16262,1
100,24235,30407,1
101,24235,29584,1
102,12499,21683,1
103,12499,23362,1
104,24235,28699,1
105,12499,32585,1
106,24235,26287,1
107,12499,34957,1
108,12499,35168,1
109,12488,15226,1
110,12597,30382,1
111,24235,44275,1
112,12258,35425,1
113,12218,34737,1
114,24338,30047,1
115,24338,25584,1
116,24337,49010,1
117,12218,36943,1
118,24337,34620,1
119,12218,37396,1
120,12218,37991,1
121,12218,38802,1
122,24337,28554,1
123,12218,39554,1
124,24338,37807,1
125,12218,39964,1
126,24243,42637,1
127,12218,40954,1
128,12218,41213,1
129,24243,35198,1
130,12218,41657,1
131,12218,42403,1
132,24243,34817,1
133,12218,43112,1
134,12218,43666,1
135,12218,43886,1
136,24243,34244,1
137,12218,40218,1
138,24239,48183,1
139,24338,45393,1
140,12218,33073,1
141,12218,22090,1
142,12218,22571,1
143,12218,22667,1
144,12218,22754,1
145,12218,23011,1
146,12218,23232,1
147,24442,34070,1
148,12218,24454,1
149,24442,28515,1
150,24442,28058,1
151,24412,42637,1
152,12218,33351,1
153,12218,27191,1
154,12218,28307,1
155,24412,28021,1
156,24375,45977,1
157,12218,29615,1
158,12218,29714,1
159,24375,40731,1
160,12218,31818,1
161,24338,48127,1
162,12218,32239,1
163,12218,32246,1
164,12218,33037,1
165,12218,27458,1
166,24235,44310,1
167,24239,47901,1
168,24239,46284,1
169,12258,20309,1
170,24239,33614,1
171,24239,33508,1
172,24239,32355,1
173,12258,21841,1
174,12258,24062,1
175,24239,31611,1
176,12258,24239,1
177,24239,30252,1
178,12258,29244,1
179,12258,29553,1
180,12258,20144,1
181,12258,29996,1
182,24239,26743,1
183,24239,24442,1
184,24235,48695,1
185,24235,47992,1
186,12258,31678,1
187,24235,47435,1
188,24235,46953,1
189,24235,46699,1
190,12258,34957,1
191,24235,45948,1
192,24235,44666,1
193,24239,27435,1
194,12218,45762,1
195,12258,18095,1
196,24239,37414,1
197,12218,46630,1
198,24239,45064,1
199,24239,44568,1
200,12218,46953,1
201,12218,48093,1
202,24239,43259,1
203,12218,48695,1
204,24239,42360,1
205,12237,17286,1
206,12237,18037,1
207,12237,24062,1
208,12258,18037,1
209,24239,41106,1
210,24239,39432,1
211,12237,32931,1
212,12237,35425,1
213,24239,39188,1
214,24239,39097,1
215,12237,37840,1
216,12237,38303,1
217,12237,44310,1
218,12258,14764,1
219,12258,15226,1
220,24239,37840,1
221,24239,40348,1
222,12597,30407,1
223,24160,44103,1
224,24160,42680,1
225,12756,16868,1
226,24125,35168,1
227,12756,17434,1
228,24125,34479,1
229,12756,17708,1
230,24125,34244,1
231,24125,33547,1
232,12756,18037,1
233,12756,18362,1
234,12756,18838,1
235,24125,29820,1
236,12756,16262,1
237,12756,20738,1
238,12756,21158,1
239,12756,21269,1
240,12756,21601,1
241,24125,25195,1
242,12756,21841,1
243,12756,22115,1
244,24125,24731,1
245,12756,23054,1
246,24107,48859,1
247,24107,47435,1
248,12756,23472,1
249,12756,21038,1
250,24107,45948,1
251,24125,36397,1
252,24125,36579,1
253,24125,45948,1
254,12620,44070,1
255,12620,44275,1
256,12620,45089,1
257,12620,45123,1
258,12620,45371,1
259,12620,45956,1
260,12620,46347,1
261,12620,46434,1
262,24125,43973,1
263,24125,42662,1
264,12756,14486,1
265,24125,41658,1
266,24125,40028,1
267,12620,47392,1
268,12620,48181,1
269,12620,48555,1
270,24125,37335,1
271,12633,42252,1
272,12635,23054,1
273,12635,46139,1
274,24125,36717,1
275,12756,13719,1
276,12756,13893,1
