,product_x,product_y,weight
0,3,3721,1
1,14277,40910,1
2,14277,40411,1
3,14277,39602,1
4,14277,38890,1
5,14277,38809,1
6,14277,38610,1
7,14277,38601,1
8,14277,37553,1
9,14277,36691,1
10,14277,36127,1
11,14277,36107,1
12,14277,35989,1
13,14277,35336,1
14,14277,35315,1
15,14277,35199,1
16,33543,35336,1
17,14277,34607,1
18,33543,35376,1
19,33543,35756,1
20,14277,41276,1
21,14277,33946,1
22,33543,34423,1
23,14277,41808,1
24,14277,47157,1
25,14277,47141,1
26,33489,49264,1
27,33518,46724,1
28,33518,48946,1
29,14277,45563,1
30,14277,45310,1
31,14277,45223,1
32,14277,44793,1
33,33528,41587,1
34,14277,44375,1
35,14277,44122,1
36,14277,43951,1
37,14277,43794,1
38,14277,43523,1
39,33543,33736,1
40,33543,34044,1
41,14277,42915,1
42,14277,42526,1
43,14277,41714,1
44,14277,33942,1
45,14277,33736,1
46,14277,33706,1
47,33543,37103,1
48,14277,26017,1
49,14277,25817,1
50,14277,25779,1
51,14277,25494,1
52,14277,25466,1
53,14277,25146,1
54,14277,25101,1
55,33543,37215,1
56,14277,24789,1
57,14277,24727,1
58,14277,24527,1
59,14277,24363,1
60,14277,24186,1
61,14277,24098,1
62,14277,23288,1
63,14277,23215,1
64,14277,23178,1
65,14277,22779,1
66,14277,26309,1
67,14277,26317,1
68,33543,36923,1
69,14277,26845,1
70,14277,33313,1
71,33543,35842,1
72,14277,33029,1
73,14277,33026,1
74,14277,31450,1
75,14277,31076,1
76,14277,30857,1
77,14277,30776,1
78,14277,30353,1
79,14277,47643,1
80,14277,29717,1
81,14277,29565,1
82,14277,29312,1
83,14277,29270,1
84,14277,28836,1
85,14277,28770,1
86,33543,36036,1
87,14277,27390,1
88,14277,27316,1
89,33543,36085,1
90,14277,29623,1
91,14277,22741,1
92,33489,49192,1
93,14277,48867,1
94,14293,28913,1
95,14293,18888,1
96,14293,14645,1
97,14289,49655,1
98,14289,49192,1
99,14289,49191,1
100,14289,47977,1
101,33489,46485,1
102,14289,47114,1
103,14289,46813,1
104,14289,46668,1
105,33489,46724,1
106,14289,45599,1
107,14289,45343,1
108,14289,44238,1
109,14289,39947,1
110,14289,39871,1
111,14289,38890,1
112,14289,37971,1
113,14293,39108,1
114,33489,47114,1
115,14296,23178,1
116,14308,26165,1
117,14326,29270,1
118,14326,26165,1
119,14326,25466,1
120,14326,24850,1
121,14326,22742,1
122,14326,21709,1
123,14326,14947,1
124,14326,14579,1
125,14318,45619,1
126,14318,42890,1
127,14318,40997,1
128,14318,38200,1
129,14318,32357,1
130,14318,25783,1
131,33489,45954,1
132,14318,17197,1
133,14315,34389,1
134,14315,16341,1
135,14308,32227,1
136,14296,34220,1
137,14289,37074,1
138,14289,36764,1
139,14289,36406,1
140,14289,22290,1
141,14289,20697,1
142,14289,20282,1
143,14289,19218,1
144,33489,47441,1
145,14289,18339,1
146,14289,17333,1
147,14289,16696,1
148,14289,16290,1
149,14289,15566,1
150,14289,14971,1
151,33489,47873,1
152,14289,14579,1
153,33489,49006,1
154,14277,49327,1
155,14277,49264,1
156,14277,49198,1
157,14277,48988,1
