,product_x,product_y,weight
0,15740,25906,1
1,19376,37776,1
2,19376,38110,1
3,19376,38281,1
4,19376,39317,1
5,19376,40568,1
6,19376,40721,1
7,19376,46561,1
8,19376,46944,1
9,19376,47366,1
10,19376,49141,1
11,19376,49633,1
12,19376,36267,1
13,19454,23050,1
14,19454,25936,1
15,19454,27027,1
16,19454,28931,1
17,19454,31640,1
18,19454,31663,1
19,19454,35619,1
20,19454,36994,1
21,19454,40278,1
22,19454,43027,1
23,19454,45394,1
24,19454,46868,1
25,19454,23117,1
26,19376,35724,1
27,19376,35688,1
28,19376,34079,1
29,19359,39560,1
30,19359,41844,1
31,19359,43409,1
32,19359,47941,1
33,19359,48717,1
34,19359,49141,1
35,19359,49543,1
36,19376,19987,1
37,19376,21514,1
38,19376,21567,1
39,19376,23134,1
40,19376,23270,1
41,19376,23952,1
42,19376,24139,1
43,19376,25552,1
44,19376,27328,1
45,19376,27761,1
46,19376,29092,1
47,19376,29363,1
48,19376,29686,1
49,19376,30340,1
50,19376,30727,1
51,19376,31271,1
52,19376,31277,1
53,19376,33230,1
54,19526,19813,1
55,19526,20871,1
56,19526,21777,1
57,19526,23072,1
58,19813,44475,1
59,19813,48742,1
60,19840,20512,1
61,19840,27246,1
62,19840,29429,1
63,19840,30183,1
64,19840,30593,1
65,19840,37405,1
66,19888,20955,1
67,19888,21351,1
68,19888,28911,1
69,19888,30340,1
70,19888,35695,1
71,19888,41844,1
72,19888,44475,1
73,19888,45596,1
74,19963,19987,1
75,19963,20871,1
76,19963,21777,1
77,19963,22053,1
78,19963,25396,1
79,19963,27007,1
80,19963,28459,1
81,19963,29835,1
82,19963,30183,1
83,19813,43409,1
84,19359,30727,1
85,19813,42912,1
86,19813,36994,1
87,19526,30183,1
88,19526,30340,1
89,19526,31602,1
90,19526,32167,1
91,19526,35572,1
92,19526,43409,1
93,19530,25422,1
94,19530,35619,1
95,19530,40344,1
96,19530,43687,1
97,19530,47559,1
98,19530,47995,1
99,19608,29646,1
100,19767,20302,1
101,19767,23117,1
102,19767,30819,1
103,19767,47504,1
104,19813,19963,1
105,19813,20715,1
106,19813,20955,1
107,19813,21351,1
108,19813,23072,1
109,19813,25893,1
110,19813,35572,1
111,19813,35786,1
112,19813,40214,1
113,19963,30661,1
114,19359,28829,1
115,19359,25396,1
116,19228,27681,1
117,19228,29429,1
118,19228,41351,1
119,19228,45831,1
120,19264,25043,1
121,19272,20552,1
122,19272,21125,1
123,19272,21607,1
124,19272,22739,1
125,19272,23952,1
126,19272,24320,1
127,19228,27663,1
128,19272,24670,1
129,19272,26319,1
130,19272,27328,1
131,19272,27663,1
132,19272,28132,1
133,19272,28217,1
134,19272,29660,1
135,19272,29942,1
136,19272,30276,1
137,19272,30340,1
138,19272,30683,1
139,19272,30967,1
140,19272,25043,1
141,19228,22598,1
142,19228,22068,1
143,19228,22053,1
144,19204,20955,1
145,19204,22206,1
146,19204,23952,1
147,19204,25396,1
148,19204,25630,1
149,19204,25936,1
150,19204,26177,1
151,19204,26248,1
152,19204,29363,1
153,19204,29752,1
154,19204,30727,1
155,19204,30967,1
156,19204,31041,1
157,19204,32648,1
158,19204,37776,1
159,19204,38039,1
160,19204,38834,1
161,19204,40427,1
162,19204,41315,1
163,19204,41890,1
164,19204,43644,1
165,19204,47428,1
166,19204,47966,1
167,19204,48058,1
168,19204,49241,1
169,19272,31041,1
170,19272,31096,1
171,19272,31634,1
172,19272,31640,1
173,19309,21607,1
174,19309,21777,1
175,19309,22053,1
176,19309,22337,1
177,19309,24832,1
178,19309,25153,1
179,19309,25893,1
180,19309,28911,1
181,19309,29646,1
