,product_x,product_y,weight
0,29,429,1
1,16578,22395,1
2,16578,22106,1
3,16578,21936,1
4,16578,20539,1
5,16578,20520,1
6,16578,17634,1
7,16535,49175,1
8,16535,49114,1
9,16535,45938,1
10,16535,45854,1
11,16535,42617,1
12,16535,40464,1
13,16535,40091,1
14,16535,38567,1
15,16535,37382,1
16,16535,35972,1
17,16535,35865,1
18,16535,33337,1
19,16535,32029,1
20,16535,31725,1
21,16535,31555,1
22,16535,29136,1
23,16535,28077,1
24,16535,27676,1
25,16535,27156,1
26,16535,26638,1
27,16535,24893,1
28,16535,24765,1
29,16535,24372,1
30,16578,23363,1
31,16535,23008,1
32,16578,24418,1
33,16578,25544,1
34,16578,46394,1
35,16578,45938,1
36,16578,44449,1
37,16578,44339,1
38,16578,43629,1
39,16578,43164,1
40,16578,41662,1
41,16578,41544,1
42,16578,41463,1
43,16578,40091,1
44,16578,39284,1
45,16578,39261,1
46,16578,36819,1
47,16578,36315,1
48,16578,35750,1
49,16578,35391,1
50,16578,35166,1
51,16578,34376,1
52,16578,33640,1
53,16578,32857,1
54,16578,32538,1
55,16578,32271,1
56,16578,31589,1
57,16578,30170,1
58,16578,29744,1
59,16578,29384,1
60,16578,28849,1
61,16578,27683,1
62,16578,25798,1
63,16578,24765,1
64,16535,21459,1
65,16535,20520,1
66,16535,20378,1
67,16525,33098,1
68,16525,32029,1
69,16525,31653,1
70,16525,30881,1
71,16525,30664,1
72,16525,30314,1
73,16525,29393,1
74,16525,29195,1
75,16525,28348,1
76,16525,27811,1
77,16525,27415,1
78,16525,27093,1
79,16525,26035,1
80,16525,22141,1
81,16525,21477,1
82,16525,21367,1
83,16525,21291,1
84,16525,20670,1
85,16525,20303,1
86,16525,20255,1
87,16525,19886,1
88,16525,19775,1
89,16525,19436,1
90,16525,19146,1
91,16525,18625,1
92,16525,18567,1
93,16525,18286,1
94,16525,17759,1
95,16456,48848,1
96,16525,33451,1
97,16525,33857,1
98,16525,35031,1
99,16525,35042,1
100,16535,20303,1
101,16525,49567,1
102,16525,49555,1
103,16525,48517,1
104,16525,48219,1
105,16525,47845,1
106,16525,47806,1
107,16525,46900,1
108,16525,45615,1
109,16525,45013,1
110,16525,44354,1
111,16525,44329,1
112,16525,44193,1
113,16525,43933,1
114,16578,47248,1
115,16525,42053,1
116,16525,41463,1
117,16525,41026,1
118,16525,40992,1
119,16525,40634,1
120,16525,40353,1
121,16525,39890,1
122,16525,39337,1
123,16525,38379,1
124,16525,38129,1
125,16525,38012,1
126,16525,36315,1
127,16525,35883,1
128,16525,35750,1
129,16525,35391,1
