,product_x,product_y,weight
0,49,74,1
1,17982,36144,1
2,17982,37658,1
3,17982,40310,1
4,17982,40798,1
5,17982,42585,1
6,17982,42664,1
7,17982,47555,1
8,17982,49605,1
9,18080,18259,1
10,18080,38885,1
11,18195,27344,1
12,18195,32757,1
13,18195,34128,1
14,18195,37274,1
15,18195,37515,1
16,18195,41588,1
17,18195,46693,1
18,18199,23879,1
19,18199,27344,1
20,18221,23029,1
21,18221,23719,1
22,18221,23919,1
23,18221,24385,1
24,18221,25024,1
25,18221,25623,1
26,17982,34321,1
27,17982,32752,1
28,17982,32507,1
29,17982,30489,1
30,17719,32900,1
31,17719,40052,1
32,17719,40310,1
33,17719,47885,1
34,17719,49521,1
35,17832,19019,1
36,17832,19101,1
37,17832,22271,1
38,17832,36144,1
39,17832,41362,1
40,17832,47569,1
41,17832,48680,1
42,18221,25965,1
43,17848,37658,1
44,17849,24660,1
45,17876,25199,1
46,17876,26453,1
47,17876,27900,1
48,17876,31188,1
49,17876,42328,1
50,17897,20614,1
51,17897,36413,1
52,17982,22963,1
53,17982,27344,1
54,17982,28560,1
55,17982,28745,1
56,17848,42346,1
57,17719,28698,1
58,18221,28537,1
59,18221,31188,1
60,18314,45757,1
61,18314,48123,1
62,18314,49131,1
63,18324,30489,1
64,18514,20199,1
65,18514,21019,1
66,18514,23919,1
67,18514,27344,1
68,18514,40310,1
69,18514,41588,1
70,18583,18615,1
71,18583,18641,1
72,18583,19895,1
73,18583,20424,1
74,18583,21560,1
75,18583,21769,1
76,18583,22281,1
77,18583,23565,1
78,18583,23719,1
79,18583,24385,1
80,18583,25017,1
81,18583,25100,1
82,18583,25199,1
83,18583,25852,1
84,18583,26352,1
85,18314,44953,1
86,18314,43148,1
87,18314,41588,1
88,18314,38694,1
89,18221,32828,1
90,18221,35652,1
91,18221,37192,1
92,18221,38694,1
93,18221,40013,1
94,18221,40310,1
95,18221,43037,1
96,18221,44090,1
97,18254,21410,1
98,18254,22963,1
99,18254,26040,1
100,18254,31093,1
101,18221,29180,1
102,18254,37147,1
103,18254,40396,1
104,18254,42342,1
105,18259,27344,1
106,18259,38885,1
107,18278,30748,1
108,18278,32275,1
109,18278,33228,1
110,18278,42664,1
111,18278,43063,1
112,18278,44384,1
113,18314,28008,1
114,18314,37147,1
115,18254,39279,1
116,17719,28457,1
117,17719,28008,1
118,17719,25965,1
119,17533,44601,1
120,17533,48866,1
121,17533,49451,1
122,17542,37515,1
123,17547,22594,1
124,17547,26047,1
125,17547,26714,1
126,17547,30489,1
127,17547,42346,1
128,17547,42523,1
129,17547,46556,1
130,17562,21512,1
131,17562,22472,1
132,17562,26040,1
133,17562,27356,1
134,17562,28634,1
135,17562,30363,1
136,17562,31242,1
137,17562,33095,1
138,17562,34321,1
139,17562,36988,1
140,17562,37167,1
141,17562,39027,1
142,17562,42585,1
143,17562,42787,1
144,17533,41588,1
145,17533,41541,1
146,17533,37337,1
147,17533,34497,1
148,17429,39218,1
149,17429,40501,1
150,17429,41541,1
151,17429,42523,1
152,17429,44021,1
153,17429,44541,1
154,17429,44953,1
155,17429,45204,1
156,17429,45510,1
157,17429,46982,1
158,17429,48057,1
159,17429,48086,1
160,17562,43183,1
161,17429,48925,1
