,product_x,product_y,weight
0,19,29669,1
1,18025,18321,1
2,18019,49647,1
3,18019,49222,1
4,18019,48819,1
5,18019,48797,1
6,18019,48730,1
7,18019,48634,1
8,18019,48416,1
9,18019,47875,1
10,18025,18599,1
11,18019,47854,1
12,18019,47187,1
13,18019,47180,1
14,18019,47120,1
15,18019,46416,1
16,18019,46275,1
17,18019,46244,1
18,18019,45582,1
19,18019,45235,1
20,18019,45169,1
21,18019,47532,1
22,18025,20685,1
23,18025,20695,1
24,18025,22514,1
25,18025,43568,1
26,18025,43099,1
27,18025,42857,1
28,18025,41509,1
29,18025,41238,1
30,18025,39619,1
31,18025,38157,1
32,18025,36681,1
33,18025,33626,1
34,18025,32330,1
35,18025,31660,1
36,18025,30877,1
37,18025,30235,1
38,18025,30057,1
39,18025,29327,1
40,18025,28959,1
41,18025,26695,1
42,18025,24664,1
43,18025,24009,1
44,18025,23375,1
45,18025,22796,1
46,18019,44041,1
47,18019,42811,1
48,18019,41972,1
49,18019,41255,1
50,18019,34273,1
51,18019,33525,1
52,18019,33479,1
53,18019,33206,1
54,18019,32738,1
55,18019,32657,1
56,18019,32526,1
57,18019,32387,1
58,18019,32330,1
59,18019,32004,1
60,18019,31517,1
61,18019,31427,1
62,18019,30877,1
63,18019,30599,1
64,18019,30534,1
65,18019,30509,1
66,18019,28915,1
67,18019,28609,1
68,18019,28278,1
69,18019,28068,1
70,18019,27794,1
71,18019,34451,1
72,18025,44865,1
73,18019,34887,1
74,18019,35565,1
75,18019,40202,1
76,18019,40017,1
77,18019,39316,1
78,18019,39224,1
79,18019,39130,1
80,18019,38912,1
81,18019,38602,1
82,18019,38528,1
83,18019,38506,1
84,18019,38273,1
85,18019,37264,1
86,18019,37255,1
87,18019,37060,1
88,18019,36770,1
89,18019,36681,1
90,18019,36526,1
91,18019,36457,1
92,18019,36023,1
93,18019,35912,1
94,18019,35861,1
95,18019,35822,1
96,18019,35128,1
97,18019,27466,1
98,18025,46522,1
99,18025,49156,1
100,18162,30235,1
101,18162,29138,1
102,18162,28915,1
103,18162,26939,1
104,18162,23375,1
105,18162,22952,1
106,18162,20685,1
107,18160,47570,1
108,18160,44041,1
109,18162,30669,1
110,18160,34533,1
111,18160,22175,1
112,18131,40557,1
113,18131,36750,1
114,18131,36266,1
115,18131,35372,1
116,18131,31660,1
117,18131,26002,1
118,18131,24097,1
119,18094,46416,1
120,18160,31966,1
121,18162,31636,1
122,18162,31966,1
123,18162,34451,1
124,18266,30257,1
125,18266,25825,1
126,18266,24747,1
127,18266,23258,1
128,18266,18427,1
129,18249,48404,1
130,18249,39619,1
131,18249,34887,1
132,18241,48634,1
133,18241,43116,1
134,18241,38113,1
135,18241,37004,1
136,18241,28609,1
137,18241,22952,1
138,18162,48634,1
139,18162,46522,1
140,18162,45679,1
141,18162,39021,1
142,18162,38506,1
143,18162,37849,1
144,18162,34533,1
145,18094,45679,1
146,18094,43076,1
147,18094,41610,1
148,18094,40879,1
149,18072,36772,1
150,18072,36681,1
151,18072,36528,1
152,18072,34943,1
153,18072,33636,1
154,18072,32387,1
155,18072,30011,1
156,18072,29970,1
157,18072,29277,1
158,18072,28518,1
159,18072,27105,1
160,18072,26939,1
161,18072,25583,1
162,18072,23375,1
163,18072,20549,1
164,18072,19478,1
165,18039,47727,1
166,18039,47570,1
167,18039,47120,1
168,18039,36750,1
169,18039,18966,1
170,18072,37046,1
171,18025,48973,1
172,18072,38533,1
173,18072,42699,1
174,18094,40229,1
175,18094,40054,1
176,18094,39719,1
177,18094,39699,1
178,18094,39619,1
179,18094,39485,1
180,18094,37825,1
181,18094,35912,1
182,18094,35753,1
183,18094,33636,1
184,18094,31927,1
185,18094,30257,1
186,18094,25886,1
187,18094,25246,1
188,18094,23801,1
189,18094,21170,1
190,18094,20549,1
191,18094,20042,1
192,18094,19478,1
193,18072,47370,1
194,18072,43076,1
195,18072,40531,1
196,18266,30434,1
197,18019,27058,1
198,18019,26118,1
199,17602,38909,1
200,17602,22952,1
201,17602,21608,1
202,17602,20703,1
203,17589,24747,1
204,17572,49156,1
205,17572,48450,1
206,17572,48395,1
207,17572,47503,1
