,product_x,product_y,weight
0,11534,39911,1
1,11798,35123,1
2,36403,37250,1
3,24142,35469,1
4,24142,35762,1
5,11798,34305,1
6,11798,34026,1
7,11798,34004,1
8,11798,33565,1
9,11798,33477,1
10,11798,32987,1
11,11798,35971,1
12,11798,32971,1
13,11798,32000,1
14,11798,31960,1
15,11798,31869,1
16,11798,31850,1
17,11798,31701,1
18,11798,31610,1
19,11798,30668,1
20,11798,30336,1
21,11798,29471,1
22,11798,29061,1
23,11798,32691,1
24,11798,28733,1
25,11798,37250,1
26,11798,37536,1
27,11798,45681,1
28,11798,45588,1
29,11798,45054,1
30,11798,44792,1
31,11798,44379,1
32,11798,43199,1
33,11798,42509,1
34,11798,42450,1
35,36403,36436,1
36,11798,41545,1
37,11798,37510,1
38,11798,41396,1
39,36403,37082,1
40,11798,40330,1
41,11798,40168,1
42,11798,39982,1
43,11798,39891,1
44,11798,39876,1
45,11798,39564,1
46,11798,39262,1
47,11798,38944,1
48,11798,38175,1
49,24142,35378,1
50,11798,25830,1
51,11798,25813,1
52,11798,25052,1
53,11734,24956,1
54,11734,18104,1
55,11734,14722,1
56,11717,49350,1
57,11717,49296,1
58,11717,48144,1
59,11717,46228,1
60,11717,45541,1
61,11717,45054,1
62,11717,45009,1
63,11734,49350,1
64,32610,39024,1
65,11717,40674,1
66,11717,38003,1
67,11717,36133,1
68,11717,33996,1
69,11717,33949,1
70,11717,33050,1
71,11717,32000,1
72,11717,31960,1
73,11717,29917,1
74,11717,29344,1
75,11717,43488,1
76,11798,13031,1
77,11798,13187,1
78,24142,36476,1
79,24142,36101,1
80,11798,24865,1
81,11798,24631,1
82,11798,24561,1
83,11798,24458,1
84,24142,36159,1
85,11798,24142,1
86,11798,23418,1
87,11798,23416,1
88,11798,23236,1
89,11798,23109,1
90,36403,37573,1
91,36403,37611,1
92,11798,21471,1
93,11798,20772,1
94,11798,20739,1
95,11798,19944,1
96,11798,19258,1
97,11798,17130,1
98,11798,16965,1
99,36403,38117,1
100,11798,16328,1
101,11798,14493,1
102,11798,46802,1
103,11717,28439,1
104,11798,47111,1
105,11798,47780,1
106,11865,22218,1
107,11865,22156,1
108,36393,47058,1
109,11865,21449,1
110,36393,47197,1
111,36393,47337,1
112,11865,20772,1
113,11865,20622,1
114,11865,20400,1
115,36393,47427,1
116,11865,22276,1
117,11865,20327,1
118,11865,20259,1
119,36393,47443,1
120,11865,19873,1
121,11865,19727,1
122,11865,19711,1
123,11865,19634,1
124,24142,31495,1
125,11865,19587,1
126,11865,19448,1
127,11865,19351,1
128,11865,20285,1
129,11865,19213,1
130,24142,30696,1
131,11865,22548,1
132,11865,25116,1
133,11865,24643,1
134,36393,46053,1
135,24142,28692,1
136,11865,24292,1
137,11865,24215,1
138,36393,46391,1
139,24142,29082,1
140,11865,23840,1
141,11865,23695,1
142,11865,22459,1
143,11865,23608,1
144,36393,46766,1
145,11865,23153,1
146,24142,30162,1
147,11865,23081,1
148,11865,23074,1
149,24142,30387,1
150,11865,22620,1
151,24142,30500,1
152,36393,46844,1
153,11865,22553,1
