,product_x,product_y,weight
0,14,11465,1
1,19445,40026,1
2,19445,40313,1
3,19445,40841,1
4,19445,40860,1
5,19445,40925,1
6,19445,41223,1
7,19445,41354,1
8,19445,42117,1
9,19445,39945,1
10,19445,42240,1
11,19445,42638,1
12,19445,42959,1
13,19445,44518,1
14,19445,44585,1
15,19445,45683,1
16,19445,45698,1
17,19445,46129,1
18,19445,46287,1
19,19445,42441,1
20,19445,39691,1
21,19445,39636,1
22,19445,39423,1
23,19445,32650,1
24,19445,34106,1
25,19445,34254,1
26,19445,34946,1
27,19445,35340,1
28,19445,35697,1
29,19445,35731,1
30,19445,36051,1
31,19445,36326,1
32,19445,36386,1
33,19445,36545,1
34,19445,36697,1
35,19445,36953,1
36,19445,37606,1
37,19445,38167,1
38,19445,38408,1
39,19445,38614,1
40,19445,38729,1
41,19445,39117,1
42,19445,46364,1
43,19445,32575,1
44,19445,46456,1
45,19445,46976,1
46,19488,22921,1
47,19488,23144,1
48,19488,23157,1
49,19488,23302,1
50,19488,23352,1
51,19488,23388,1
52,19488,23529,1
53,19488,23560,1
54,19488,22855,1
55,19488,23738,1
56,19488,23975,1
57,19488,24222,1
58,19488,24533,1
59,19488,24771,1
60,19488,24829,1
61,19488,24983,1
62,19488,25018,1
63,19488,25187,1
64,19488,23740,1
65,19488,22655,1
66,19488,22520,1
67,19488,22495,1
68,19445,47501,1
69,19445,47865,1
70,19445,48118,1
71,19445,48532,1
72,19445,49108,1
73,19445,49441,1
74,19445,49565,1
75,19488,19578,1
76,19488,20077,1
77,19488,20428,1
78,19488,20507,1
79,19488,20658,1
80,19488,20765,1
81,19488,20864,1
82,19488,21362,1
83,19488,21645,1
84,19488,21984,1
85,19488,22211,1
86,19488,22377,1
87,19445,46757,1
88,19445,32265,1
89,19445,31314,1
90,19445,30759,1
91,19281,31066,1
92,19281,49309,1
93,19286,26405,1
94,19312,44585,1
95,19324,25742,1
96,19324,29252,1
97,19324,29288,1
98,19324,29345,1
99,19242,38186,1
100,19324,31060,1
101,19324,35731,1
102,19324,42644,1
103,19324,42959,1
104,19324,43960,1
105,19324,47365,1
106,19409,20658,1
107,19409,22535,1
108,19409,27903,1
109,19324,32265,1
110,19242,28817,1
111,19242,23633,1
112,19242,23302,1
113,19202,46887,1
114,19202,47253,1
115,19202,47599,1
116,19202,48118,1
117,19202,48131,1
118,19202,48366,1
119,19202,48532,1
120,19202,48754,1
121,19202,49072,1
122,19202,49397,1
123,19202,49447,1
124,19219,19514,1
125,19219,24749,1
126,19219,32003,1
127,19219,34287,1
128,19219,41225,1
129,19219,42222,1
130,19219,42240,1
131,19242,20244,1
132,19409,36150,1
133,19409,36386,1
134,19409,38340,1
135,19409,39728,1
136,19445,24942,1
137,19445,25368,1
138,19445,25393,1
139,19445,25440,1
140,19445,25555,1
141,19445,26226,1
142,19445,26586,1
143,19445,27364,1
144,19445,27696,1
145,19445,27747,1
146,19445,27748,1
147,19445,27941,1
148,19445,28430,1
149,19445,28926,1
150,19445,29520,1
151,19445,29980,1
152,19445,30164,1
153,19445,30280,1
154,19445,30535,1
155,19445,23892,1
156,19488,25205,1
157,19445,23782,1
158,19445,23115,1
159,19435,27903,1
160,19435,33168,1
161,19435,41127,1
162,19435,42240,1
163,19435,45037,1
164,19435,45566,1
165,19435,45698,1
166,19445,19521,1
167,19445,20160,1
168,19445,20607,1
169,19445,20892,1
170,19445,21050,1
171,19445,21250,1
172,19445,21372,1
173,19445,21394,1
174,19445,21575,1
175,19445,22487,1
176,19445,22655,1
177,19445,22785,1
178,19445,23740,1
179,19488,25389,1
180,19488,25506,1
181,19488,25555,1
182,19488,48675,1
183,19488,48690,1
184,19488,48989,1
185,19488,49113,1
186,19488,49558,1
187,19488,49668,1
188,19506,20428,1
189,19506,23302,1
190,19488,48084,1
191,19506,27850,1
192,19506,32085,1
193,19506,38483,1
194,19506,40313,1
195,19506,41034,1
196,19506,42859,1
197,19506,46235,1
198,19506,47938,1
199,19514,19779,1
200,19506,29345,1
201,19488,47674,1
202,19488,47477,1
203,19488,47234,1
204,19488,42948,1
205,19488,43083,1
206,19488,43329,1
207,19488,43345,1
208,19488,43450,1
209,19488,43954,1
210,19488,43960,1
211,19488,44048,1
212,19488,44224,1
213,19488,44538,1
214,19488,45037,1
215,19488,45245,1
216,19488,45259,1
217,19488,45335,1
218,19488,45713,1
219,19488,45798,1
220,19488,46056,1
221,19488,46235,1
222,19488,46601,1
223,19514,20244,1
224,19514,21557,1
225,19514,21645,1
226,19514,21849,1
227,19514,44048,1
228,19514,44584,1
229,19514,44643,1
230,19514,44911,1
231,19514,45359,1
232,19514,45392,1
233,19514,46828,1
234,19514,47198,1
235,19514,47206,1
236,19514,47599,1
237,19514,47665,1
238,19514,47865,1
239,19514,48812,1
240,19514,49269,1
241,19514,49668,1
242,19521,22655,1
243,19521,22785,1
244,19521,24533,1
245,19521,30535,1
246,19514,42240,1
247,19488,42644,1
248,19514,41845,1
249,19514,41387,1
250,19514,22487,1
251,19514,22844,1
252,19514,22950,1
253,19514,25844,1
254,19514,26905,1
255,19514,27249,1
256,19514,29474,1
257,19514,30379,1
258,19514,33290,1
259,19514,33948,1
260,19514,34658,1
261,19514,34947,1
262,19514,36434,1
263,19514,36618,1
264,19514,36953,1
265,19514,37036,1
266,19514,37659,1
267,19514,38340,1
268,19514,40196,1
269,19514,41700,1
270,19202,46673,1
271,19488,42327,1
272,19488,41845,1
273,19488,30554,1
274,19488,30680,1
275,19488,31014,1
276,19488,31368,1
277,19488,31647,1
278,19488,32104,1
279,19488,32592,1
280,19488,32650,1
281,19488,30325,1
282,19488,32724,1
283,19488,33290,1
284,19488,33316,1
285,19488,33496,1
286,19488,33687,1
287,19488,33701,1
288,19488,33704,1
289,19488,33871,1
290,19488,33948,1
291,19488,33136,1
292,19488,30040,1
293,19488,29696,1
294,19488,29520,1
295,19488,25908,1
296,19488,26085,1
297,19488,26171,1
298,19488,26188,1
299,19488,26559,1
300,19488,26785,1
301,19488,27364,1
302,19488,27418,1
303,19488,27673,1
304,19488,27708,1
305,19488,27748,1
306,19488,27753,1
307,19488,27868,1
308,19488,27941,1
309,19488,28646,1
310,19488,29076,1
311,19488,29237,1
312,19488,29340,1
313,19488,29345,1
314,19488,33988,1
315,19488,34058,1
316,19488,34071,1
317,19488,34410,1
318,19488,38408,1
319,19488,38511,1
320,19488,38949,1
321,19488,39451,1
322,19488,39678,1
323,19488,39691,1
324,19488,40027,1
325,19488,40080,1
326,19488,40097,1
327,19488,40131,1
328,19488,40661,1
329,19488,40805,1
330,19488,40959,1
331,19488,41056,1
332,19488,41206,1
333,19488,41316,1
334,19488,41650,1
335,19488,41700,1
336,19488,41779,1
337,19488,38407,1
338,19488,42275,1
339,19488,38340,1
340,19488,38070,1
341,19488,34467,1
342,19488,34650,1
343,19488,34678,1
344,19488,34909,1
345,19488,34946,1
346,19488,35145,1
347,19488,35836,1
348,19488,36051,1
349,19488,36372,1
350,19488,36434,1
351,19488,36545,1
352,19488,36800,1
353,19488,37069,1
354,19488,37279,1
355,19488,37350,1
356,19488,37557,1
357,19488,37751,1
358,19488,37763,1
359,19488,38015,1
360,19488,38090,1
361,19521,34946,1
362,19202,46235,1
363,19202,46129,1
364,18998,41779,1
365,18998,42517,1
366,18998,42959,1
367,18998,43345,1
368,18998,43580,1
369,18998,44585,1
370,18998,44911,1
371,18998,45592,1
372,18998,41402,1
373,18998,45622,1
374,18998,46158,1
375,18998,46672,1
376,18998,47123,1
377,18998,47194,1
378,18998,47599,1
379,18998,48131,1
380,18998,48393,1
381,18998,49072,1
382,18998,45683,1
383,18998,41223,1
384,18998,41172,1
385,18998,40963,1
386,18998,37350,1
387,18998,37545,1
388,18998,37554,1
389,18998,37982,1
390,18998,38015,1
391,18998,38090,1
392,18998,38196,1
393,18998,38340,1
394,18998,38949,1
395,18998,39132,1
396,18998,39447,1
397,18998,39636,1
398,18998,39821,1
399,18998,39945,1
400,18998,40131,1
401,18998,40196,1
402,18998,40597,1
403,18998,40664,1
404,18998,40877,1
405,18998,49113,1
406,18998,37229,1
407,18998,49173,1
408,18999,22198,1
409,19070,23229,1
410,19070,23389,1
411,19070,23782,1
412,19070,23892,1
413,19070,24165,1
414,19070,26691,1
415,19070,27696,1
416,19070,27929,1
417,19070,22565,1
418,19070,28048,1
419,19070,33861,1
420,19070,34716,1
421,19070,35473,1
422,19070,36051,1
423,19070,36870,1
424,19070,38511,1
425,19070,38573,1
426,19070,39378,1
427,19070,31654,1
428,19070,22358,1
429,19070,21869,1
430,19070,20607,1
431,18999,25506,1
432,18999,29801,1
433,18999,31066,1
434,18999,31801,1
435,18999,34658,1
436,18999,37357,1
437,18999,38408,1
438,18999,38573,1
439,18999,39678,1
440,18999,42240,1
441,18999,43194,1
442,18999,44643,1
443,18999,48370,1
444,19027,37203,1
445,19043,22565,1
446,19043,32650,1
447,19043,38949,1
448,19043,45566,1
449,19070,20457,1
450,18998,49269,1
451,18998,37203,1
452,18998,36697,1
453,18998,36686,1
454,18988,47918,1
455,18988,48320,1
456,18988,49120,1
457,18988,49558,1
458,18988,49668,1
459,18989,25612,1
460,18989,26919,1
461,18989,28108,1
462,18988,47674,1
463,18989,31801,1
464,18998,19140,1
465,18998,19164,1
466,18998,20112,1
467,18998,20590,1
468,18998,20658,1
469,18998,20711,1
470,18998,21050,1
471,18998,21272,1
472,18998,19138,1
473,18988,47477,1
474,18988,46952,1
475,18988,46564,1
476,18988,41206,1
477,18988,41223,1
478,18988,41611,1
479,18988,41863,1
480,18988,42406,1
481,18988,42556,1
482,18988,42967,1
483,18988,43155,1
484,18988,43345,1
485,18988,44461,1
486,18988,44585,1
