,product_x,product_y,weight
0,47,2450,1
1,17521,23032,1
2,17521,23001,1
3,17521,19307,1
4,17466,49029,1
5,17402,45933,1
6,17402,23032,1
7,17402,17559,1
8,17370,47434,1
9,17370,46268,1
10,17521,24787,1
11,17370,42111,1
12,17370,41267,1
13,17370,34523,1
14,17370,26496,1
15,17370,25738,1
16,17370,21413,1
17,17370,20377,1
18,17370,19041,1
19,17347,33700,1
20,17297,47008,1
21,17370,42023,1
22,17521,40069,1
23,17521,44788,1
24,17521,47305,1
25,17619,25732,1
26,17619,24553,1
27,17619,23649,1
28,17619,21249,1
29,17619,20319,1
30,17619,19929,1
31,17619,19064,1
32,17619,18849,1
33,17619,18381,1
34,17619,17734,1
35,17599,25553,1
36,17599,21724,1
37,17559,49128,1
38,17559,41823,1
39,17559,39430,1
40,17559,34940,1
41,17559,33516,1
42,17559,23067,1
43,17559,22893,1
44,17559,22275,1
45,17559,19761,1
46,17297,39430,1
47,17297,38593,1
48,17264,49090,1
49,17264,47976,1
50,17209,32412,1
51,17209,27229,1
52,17209,23649,1
53,17209,22528,1
54,17209,22220,1
55,17209,21413,1
56,17209,19649,1
57,17209,17786,1
58,17193,48309,1
59,17193,47752,1
60,17193,42297,1
61,17193,27229,1
62,17193,26390,1
63,17193,23001,1
64,17193,22981,1
65,17193,18994,1
66,17193,18381,1
67,17121,23133,1
68,17038,49600,1
69,17038,49437,1
70,17038,46971,1
71,17209,33324,1
72,17619,26390,1
73,17209,34981,1
74,17209,39182,1
75,17264,41834,1
76,17264,34871,1
77,17264,34597,1
78,17264,33291,1
79,17264,32875,1
80,17264,30456,1
81,17264,30129,1
82,17264,28014,1
83,17264,27014,1
84,17264,25170,1
85,17264,23067,1
86,17264,22995,1
87,17264,22893,1
88,17264,22275,1
89,17264,19761,1
90,17264,18849,1
91,17264,17624,1
92,17209,49128,1
93,17209,46971,1
94,17209,45819,1
95,17209,41613,1
96,17209,38707,1
97,17038,45863,1
98,17619,26483,1
99,17619,27175,1
100,17734,21724,1
101,17734,21249,1
102,17734,19929,1
103,17734,19385,1
104,17734,18977,1
105,17731,49116,1
106,17731,48784,1
