,product_x,product_y,weight
0,23,1117,1
1,17454,36305,1
2,17454,35833,1
3,17454,32959,1
4,17454,31296,1
5,17454,31193,1
6,17454,30755,1
7,17454,30543,1
8,17454,26842,1
9,17454,26252,1
10,17454,21781,1
11,17454,18638,1
12,17454,17828,1
13,17427,47672,1
14,17427,45994,1
15,17427,45633,1
16,17427,39046,1
17,17427,38609,1
18,17427,38293,1
19,17427,36522,1
20,17427,35824,1
21,17427,35752,1
22,17427,32959,1
23,17427,26324,1
24,17427,23198,1
25,17427,23181,1
26,17454,41376,1
27,17454,43465,1
28,17454,45327,1
29,17454,45604,1
30,17461,42318,1
31,17461,42059,1
32,17461,39762,1
33,17461,39046,1
34,17461,38590,1
35,17461,37951,1
36,17461,36196,1
37,17461,34086,1
38,17461,33897,1
39,17461,32959,1
40,17461,32320,1
41,17461,27065,1
42,17427,23005,1
43,17461,25634,1
44,17461,23198,1
45,17461,23181,1
46,17461,22912,1
47,17461,22679,1
48,17461,22178,1
49,17461,21927,1
50,17461,21445,1
51,17461,18975,1
52,17461,18727,1
53,17454,49436,1
54,17454,48568,1
55,17454,46990,1
56,17461,24086,1
57,17461,42951,1
58,17427,22989,1
59,17427,22888,1
60,17279,34264,1
61,17279,19510,1
62,17266,47672,1
63,17237,49236,1
64,17237,47672,1
65,17237,29852,1
66,17108,42769,1
67,17108,17878,1
68,17108,17461,1
69,16972,41757,1
70,16972,29852,1
71,16972,29056,1
72,16907,36431,1
73,16907,22989,1
74,16878,32320,1
75,16878,26412,1
76,16835,41889,1
77,16826,49436,1
78,16826,48833,1
79,16826,48568,1
80,16826,48520,1
81,16826,47598,1
82,16826,47380,1
83,16826,47303,1
84,16826,46307,1
85,17279,34387,1
86,17303,21799,1
87,17303,29807,1
88,17303,45529,1
89,17427,17878,1
90,17427,17489,1
91,17425,39046,1
92,17425,33568,1
93,17425,33081,1
94,17425,27958,1
95,17425,26324,1
96,17404,33103,1
97,17323,40219,1
98,17323,37564,1
99,17323,36431,1
100,17323,33897,1
101,17427,22912,1
102,17323,33545,1
103,17323,31160,1
104,17323,27564,1
105,17323,27189,1
106,17323,27065,1
107,17323,27033,1
108,17323,26412,1
109,17323,23005,1
110,17323,22989,1
111,17323,22888,1
112,17323,19805,1
113,17303,49279,1
114,17303,46041,1
115,17323,33234,1
116,16826,40486,1
117,17461,44575,1
118,17461,47907,1
119,17878,47907,1
120,17878,47802,1
121,17878,46991,1
122,17878,45604,1
123,17878,44870,1
124,17878,43802,1
125,17878,42368,1
126,17878,40486,1
127,17878,40288,1
128,17878,38190,1
129,17878,37951,1
130,17878,36522,1
131,17878,36305,1
132,17878,35833,1
133,17878,35825,1
134,17878,35629,1
135,17878,35578,1
136,17878,34530,1
137,17878,34264,1
138,17878,32839,1
139,17878,28986,1
140,17878,28432,1
141,17878,27065,1
142,17878,25985,1
143,17878,24279,1
144,17878,47962,1
145,17878,49436,1
146,18010,23198,1
147,18010,27695,1
148,18161,26252,1
149,18161,25890,1
150,18109,48360,1
151,18109,47962,1
152,18109,46041,1
153,18109,44566,1
154,18109,40486,1
155,18109,40058,1
156,18109,38293,1
157,18109,36431,1
158,18109,35846,1
159,18109,35752,1
160,17878,20655,1
161,18109,34086,1
162,18109,33944,1
163,18109,33231,1
164,18109,28986,1
165,18109,27360,1
166,18109,27033,1
167,18109,25341,1
168,18109,25110,1
169,18109,24303,1
170,18109,21781,1
171,18109,19836,1
172,18010,46990,1
173,18010,28986,1
174,18109,33985,1
175,17461,45962,1
176,17878,19068,1
177,17851,38072,1
178,17545,44870,1
179,17545,38946,1
180,17545,36431,1
181,17545,35752,1
182,17545,35483,1
183,17545,31239,1
184,17545,28823,1
185,17545,28774,1
186,17545,27970,1
187,17545,22476,1
188,17545,19805,1
189,17545,19178,1
190,17527,36431,1
