,product_x,product_y,weight
0,72,41149,1
1,15838,46000,1
2,16273,18542,1
3,16273,22752,1
4,16273,39842,1
5,16273,43669,1
6,16770,39260,1
7,16786,20629,1
8,16786,20942,1
9,16858,27450,1
10,16858,45325,1
11,16970,18542,1
12,16970,25424,1
13,16970,37307,1
14,16970,38751,1
15,16970,45311,1
16,16970,46166,1
17,16977,41149,1
18,17496,27394,1
19,17550,22127,1
20,17550,32928,1
21,17628,27767,1
22,15838,29535,1
23,17628,32210,1
24,15838,25658,1
25,15838,20867,1
26,15063,35135,1
27,15063,38452,1
28,15063,41149,1
29,15063,45311,1
30,15201,29375,1
31,15201,45406,1
32,15201,47047,1
33,15394,37307,1
34,15458,29932,1
35,15458,47307,1
36,15576,17550,1
37,15576,23391,1
38,15576,25572,1
39,15576,33668,1
40,15576,35000,1
41,15576,38805,1
42,15576,39739,1
43,15795,33080,1
44,15795,33668,1
45,15795,38510,1
46,15795,40312,1
47,15838,24067,1
48,17757,21915,1
49,17757,28974,1
50,17757,31003,1
51,19177,45311,1
52,19726,27450,1
53,20153,36029,1
54,20153,38452,1
55,20153,38795,1
56,20153,41149,1
57,20153,48771,1
58,20315,36643,1
59,20373,25995,1
60,20447,42165,1
61,20447,48811,1
62,20707,28270,1
63,20725,23263,1
64,20725,25134,1
65,20725,27767,1
66,20867,46000,1
67,20885,21505,1
68,20885,41401,1
69,20942,42251,1
70,21043,23263,1
71,21110,47335,1
72,19177,26925,1
73,19089,47473,1
74,19089,38751,1
75,19056,48887,1
76,17757,33080,1
77,17757,35918,1
78,17757,36029,1
79,17978,24423,1
80,17978,40432,1
81,18086,44498,1
82,18086,47530,1
83,18086,48887,1
84,18164,38510,1
85,18170,27450,1
86,15063,25636,1
87,18170,37928,1
88,18203,33725,1
89,18203,36029,1
90,18390,19481,1
91,18472,26197,1
92,18542,22928,1
93,18542,26925,1
94,18542,38751,1
95,18542,39739,1
96,18542,42742,1
97,19056,21110,1
98,18170,41868,1
99,15063,25424,1
100,15063,21973,1
101,15063,18542,1
102,11494,25424,1
103,11494,27767,1
104,11494,29292,1
105,11494,30563,1
106,11494,35997,1
107,11494,39739,1
108,11494,41870,1
109,11494,46166,1
110,11494,48551,1
111,11494,48865,1
112,12058,17550,1
113,12058,23174,1
114,12058,33725,1
115,12058,35000,1
116,12058,38510,1
117,12058,39765,1
118,12180,13786,1
119,12421,34779,1
120,12445,48860,1
121,12521,27450,1
122,12521,38307,1
123,11494,18164,1
124,11494,17628,1
125,11494,13339,1
126,11473,22937,1
127,11286,16273,1
128,11286,17628,1
129,11286,25424,1
130,11286,26925,1
131,11286,35135,1
132,11286,35997,1
133,11286,38510,1
134,11286,40312,1
135,11286,41149,1
136,11340,47887,1
137,12521,39900,1
138,11374,14010,1
139,11374,21985,1
140,11374,27767,1
141,11374,38452,1
142,11374,38510,1
143,11374,39739,1
144,11374,41149,1
145,11389,15201,1
146,11389,24423,1
147,11473,22338,1
148,11473,22714,1
149,11374,16970,1
150,21117,24616,1
151,12521,42165,1
152,12529,17508,1
153,14478,35860,1
154,14478,40432,1
155,14546,28461,1
156,14546,40227,1
157,14591,21853,1
158,14591,25995,1
159,14745,37789,1
160,14745,49553,1
161,14795,20153,1
162,14795,25134,1
163,14795,45311,1
164,14795,46949,1
165,14899,16970,1
166,14899,27767,1
167,14899,41149,1
168,15016,20725,1
169,15016,33080,1
170,15016,35997,1
171,15016,37307,1
172,15016,38751,1
173,15063,16970,1
174,14478,17978,1
175,14405,25134,1
176,14284,48865,1
177,14284,46949,1
178,12739,40649,1
179,12952,14745,1
180,12952,37789,1
181,12952,49553,1
182,13117,38855,1
183,13339,38510,1
184,13339,41149,1
185,13592,14010,1
186,13592,46166,1
187,13598,15016,1
188,12521,43211,1
189,13598,15576,1
190,13598,25424,1
191,47586,48811,1
192,13598,43669,1
193,13598,48738,1
194,13656,25278,1
195,13796,25164,1
196,14010,25424,1
197,14010,26925,1
198,14010,36643,1
199,14010,48811,1
200,13598,24616,1
201,21117,41149,1
202,21182,41149,1
203,21452,35860,1
204,33725,41149,1
205,34171,46949,1
206,35000,38510,1
207,35135,37307,1
208,35135,39739,1
209,35135,41685,1
210,35135,43751,1
211,35135,46293,1
212,35562,38468,1
213,35658,36860,1
214,35918,46166,1
215,35925,38510,1
216,35997,38510,1
217,35997,38751,1
218,35997,41149,1
219,35997,46166,1
220,36029,41870,1
221,36029,45311,1
222,36029,46166,1
223,36029,48159,1
224,36029,48551,1
225,33725,36029,1
226,33725,35000,1
227,33668,48771,1
228,33668,38795,1
229,29961,35282,1
230,29961,38452,1
231,30343,36992,1
232,30563,38751,1
233,30563,49664,1
234,30804,31003,1
235,30932,39900,1
236,31003,32236,1
237,31003,38510,1
238,31052,31586,1
239,36029,48865,1
240,31052,46000,1
241,31774,33363,1
242,32210,38510,1
243,32644,47307,1
244,32644,48811,1
245,32692,48887,1
246,32889,38510,1
247,33080,35000,1
248,33080,36029,1
249,33167,33183,1
250,33363,42165,1
251,31053,47213,1
252,29932,34014,1
253,36643,46166,1
254,37307,38452,1
255,40312,41149,1
256,40609,46499,1
257,40960,41149,1
258,41149,41284,1
259,41149,41331,1
260,41149,44247,1
261,41149,45923,1
262,41149,46166,1
263,41149,46903,1
264,41149,46949,1
265,41149,47451,1
266,41233,44247,1
267,41284,47473,1
268,41870,46166,1
269,43709,45412,1
270,43972,45923,1
271,44181,45406,1
272,44498,47530,1
273,44498,48887,1
274,44600,47307,1
275,47530,48887,1
276,39739,45311,1
277,39739,41284,1
278,39739,41149,1
279,39715,41149,1
280,37307,41331,1
281,37566,47335,1
282,37566,48771,1
283,37789,49553,1
284,37880,47307,1
285,38038,38855,1
286,38038,38977,1
287,38452,47252,1
288,38705,39164,1
289,38751,38870,1
290,36903,39067,1
291,38751,41543,1
292,38795,46949,1
293,38855,38977,1
294,38855,49357,1
295,38870,40395,1
296,38870,41149,1
297,38870,46499,1
298,39026,47336,1
299,39418,40743,1
300,39418,49017,1
301,39480,48771,1
302,38795,43972,1
303,11286,15061,1
304,29773,38452,1
305,29414,35816,1
306,24138,37260,1
307,24423,35860,1
308,24423,40432,1
309,24436,32995,1
310,24436,41149,1
311,24616,41149,1
312,24616,46997,1
313,24772,32210,1
314,24974,30560,1
315,25019,32210,1
316,25058,46499,1
317,25134,26998,1
318,25134,27767,1
319,25134,28974,1
320,25134,37307,1
321,25134,41304,1
322,25198,26276,1
323,25198,43264,1
324,25377,44822,1
325,25402,31370,1
326,25424,25636,1
327,24076,39067,1
328,24067,31586,1
329,24067,25658,1
330,23518,38239,1
331,21505,41401,1
332,21649,35589,1
333,21649,41638,1
334,21649,44175,1
335,21747,37307,1
336,21915,38510,1
337,21973,37307,1
338,21973,39739,1
339,22127,48865,1
340,22319,26906,1
341,25424,39739,1
342,22319,40641,1
343,22433,41149,1
344,22478,31774,1
345,22478,33363,1
346,22531,24409,1
347,22752,25134,1
348,22865,41149,1
349,23263,25198,1
350,23263,26276,1
351,23263,38452,1
352,23263,48561,1
353,22433,40960,1
354,29773,35282,1
355,25424,41149,1
356,25636,39739,1
357,27450,38977,1
358,27450,44181,1
359,27539,31058,1
360,27539,47508,1
361,27635,38510,1
362,27765,43934,1
363,27767,33080,1
364,27767,46166,1
365,28319,36029,1
366,28461,40227,1
367,28788,30804,1
368,28788,31003,1
369,28974,38510,1
370,29232,39067,1
371,29292,41149,1
372,29292,46293,1
373,29305,35135,1
374,29305,41149,1
375,29375,45406,1
376,29413,35934,1
377,29413,41149,1
378,27450,38855,1
379,27450,38038,1
380,27450,31003,1
381,27267,41331,1
382,25658,29535,1
383,25663,35710,1
384,25995,37307,1
385,25995,38510,1
386,25995,48820,1
387,26197,33935,1
388,26197,36430,1
389,26276,41149,1
390,26385,39042,1
391,26527,35562,1
392,25424,43669,1
393,26527,37300,1
394,26925,29413,1
395,26925,32210,1
396,26925,35135,1
397,26925,38452,1
398,26925,40312,1
399,26925,41149,1
400,26925,45311,1
401,26925,46765,1
402,27225,38795,1
403,27225,45923,1
404,26750,41149,1
405,11286,13598,1
406,48500,48811,1
407,11286,11374,1
408,6309,11065,1
409,2265,24616,1
410,6309,11340,1
411,6309,17805,1
412,6309,21452,1
413,6309,25995,1
414,6309,31774,1
415,6309,40482,1
416,6309,10690,1
417,6309,42165,1
418,2265,13339,1
419,2265,11494,1
420,6513,30560,1
421,6566,7133,1
422,2265,11286,1
423,2265,7155,1
424,6566,9977,1
425,6566,18170,1
426,2265,17628,1
427,6566,27450,1
428,6309,10493,1
429,6309,8576,1
430,5265,45935,1
431,5879,15201,1
432,5879,47047,1
433,5904,10690,1
434,5937,25995,1
435,5937,27765,1
436,2335,7035,1
437,5937,30560,1
438,6309,8616,1
439,5937,43934,1
440,5937,47336,1
441,6081,11374,1
442,2265,49484,1
443,2265,43264,1
444,2265,41543,1
445,6081,41149,1
446,6185,17446,1
447,6185,29303,1
448,5937,45325,1
449,6582,18542,1
450,6625,45820,1
451,6688,36903,1
452,7035,41870,1
453,1387,34171,1
454,7035,45311,1
455,1387,24073,1
456,7035,46903,1
457,7035,48091,1
458,7133,18170,1
459,7155,18542,1
460,1387,38795,1
461,7155,25701,1
462,1387,15795,1
463,1387,4157,1
464,7279,8576,1
465,7279,8892,1
466,7279,13096,1
467,7279,17805,1
468,7279,25995,1
469,7279,30563,1
470,7155,35135,1
471,1387,48771,1
472,7035,39765,1
473,7035,37307,1
474,2198,37260,1
475,6896,27032,1
476,7035,8043,1
477,7035,8693,1
478,2162,38510,1
479,7035,9456,1
480,7035,12043,1
481,7035,13339,1
482,7035,13592,1
483,7035,13598,1
