,product_x,product_y,weight
0,86,18152,1
1,20270,23303,1
2,20270,39670,1
3,20270,42729,1
4,20441,48177,1
5,20572,35025,1
6,21221,27371,1
7,21644,39461,1
8,21865,45856,1
9,18808,31113,1
10,21870,22397,1
11,22397,32073,1
12,23303,37562,1
13,23303,39670,1
14,24437,26515,1
15,24456,26756,1
16,24603,25515,1
17,24603,38681,1
18,24897,31113,1
19,21870,32073,1
20,24996,27371,1
21,18255,42099,1
22,18152,39148,1
23,14248,31803,1
24,14248,36291,1
25,14626,26756,1
26,14762,22397,1
27,14762,27427,1
28,39670,42729,1
29,15229,24316,1
30,16583,24996,1
31,18152,40110,1
32,16707,31803,1
33,17110,32115,1
34,17277,34907,1
35,17430,29659,1
36,17467,49596,1
37,17523,40110,1
38,17822,27822,1
39,17970,35025,1
40,18152,31777,1
41,17110,21644,1
42,14116,21644,1
43,24996,31146,1
44,25515,38681,1
45,33188,42914,1
46,33372,36291,1
47,34989,38257,1
48,34989,39148,1
49,34989,48005,1
50,35025,44809,1
51,35133,37314,1
52,35142,48177,1
53,32283,44645,1
54,35532,42952,1
55,36291,40715,1
56,36291,44558,1
57,37401,40715,1
58,37760,41957,1
59,38662,39071,1
60,39071,46440,1
61,39148,44809,1
62,39422,47250,1
63,36291,37946,1
64,24996,38681,1
65,32115,48031,1
66,31803,46793,1
67,25554,32115,1
68,25554,39461,1
69,26515,44218,1
70,26756,40301,1
71,27043,38662,1
72,27128,27371,1
73,27128,28588,1
74,27128,44318,1
75,32115,43786,1
76,27936,28588,1
77,28588,46414,1
78,28705,46477,1
79,28984,48543,1
80,30569,37946,1
81,30852,30931,1
82,31113,46739,1
83,31803,36291,1
84,31803,44405,1
85,28522,38662,1
86,14078,46739,1
87,14762,48258,1
88,14078,34680,1
89,3437,5435,1
90,3960,21870,1
91,3960,22397,1
92,3960,32073,1
93,4636,32115,1
94,4882,29659,1
95,4928,28522,1
96,5202,18152,1
97,5202,44809,1
98,5211,12684,1
99,5211,14626,1
100,5211,24456,1
101,5211,26756,1
102,5435,48543,1
103,5795,12942,1
104,14078,36947,1
105,6434,42057,1
106,6785,44121,1
107,6960,46507,1
108,3163,20572,1
109,7273,26756,1
110,3125,20599,1
111,2942,14762,1
112,506,1010,1
113,535,14762,1
114,535,17590,1
115,535,18732,1
116,535,20228,1
117,1013,31803,1
118,1013,36291,1
119,1682,24996,1
120,1682,27371,1
121,1682,32115,1
122,1724,25887,1
123,1833,48049,1
124,1892,39148,1
125,2138,43786,1
126,2353,31643,1
127,2353,38662,1
128,2353,44809,1
129,2353,45777,1
130,2353,45884,1
131,3125,20406,1
132,7273,40301,1
133,6021,11897,1
134,7807,45573,1
135,11511,30569,1
136,11511,40715,1
137,11511,41957,1
138,11511,44405,1
139,12040,20066,1
140,12275,39148,1
141,12275,44809,1
142,12412,26756,1
143,12412,39819,1
144,12942,19463,1
145,13298,20572,1
146,13475,38662,1
147,13475,45856,1
148,13608,46234,1
149,13739,37401,1
150,13842,27371,1
151,14076,35110,1
152,14076,38981,1
153,14078,14248,1
154,11394,20510,1
155,11218,47466,1
156,42952,43041,1
157,11218,34680,1
158,8745,11903,1
159,8745,39422,1
160,8745,47250,1
161,11218,16776,1
162,8785,44885,1
163,8960,26756,1
164,10567,17259,1
165,10524,39635,1
166,24599,49290,2
167,6960,13842,2
168,38088,46824,2
169,13842,46507,2
170,22396,37314,2
171,21865,39071,2
172,2138,11218,2
173,3278,43245,2
174,27371,28588,2
175,17430,37314,2
176,29659,42057,2
177,11511,36291,2
178,10856,14078,2
179,5202,12275,2
180,23303,42729,2
181,21865,35142,3
182,27371,27936,3
183,31113,39071,3
184,20406,20599,3
185,26756,34404,3
186,12942,27128,3
187,4818,7807,3
188,17110,39461,3
189,14626,24456,4
190,34680,46507,4
191,37562,39670,5
192,12942,44318,6
193,32115,39461,10
