,product_x,product_y,weight
0,6,14650,1
1,19462,37378,1
2,19462,35651,1
3,19462,23461,1
4,19453,49328,1
5,19453,49129,1
6,19453,46892,1
7,19453,46684,1
8,19453,41510,1
9,19453,41096,1
10,19453,40266,1
11,19453,35964,1
12,19453,35601,1
13,19462,44166,1
14,19453,33493,1
15,19453,32194,1
16,19453,31814,1
17,19453,30347,1
18,19453,30058,1
19,19453,29933,1
20,19453,25606,1
21,19453,24910,1
22,19453,21241,1
23,19447,48915,1
24,19447,45783,1
25,19447,43990,1
26,19447,42997,1
27,19453,32452,1
28,19462,44861,1
29,19467,21647,1
30,19467,22083,1
31,19467,42921,1
32,19467,42457,1
33,19467,41388,1
34,19467,41035,1
35,19467,40588,1
36,19467,39971,1
37,19467,39663,1
38,19467,39162,1
39,19467,38111,1
40,19467,36837,1
41,19467,36377,1
42,19467,33980,1
43,19467,33143,1
44,19467,31309,1
45,19467,30471,1
46,19467,30059,1
47,19467,29739,1
48,19467,29213,1
49,19467,29199,1
50,19467,28592,1
51,19467,28180,1
52,19467,27544,1
53,19467,25611,1
54,19467,25289,1
55,19467,25216,1
56,19467,25180,1
57,19467,25071,1
58,19447,39465,1
59,19467,44186,1
60,19447,38115,1
61,19447,35601,1
62,19387,33803,1
63,19387,31099,1
64,19387,26475,1
65,19387,26372,1
66,19372,22586,1
67,19347,49634,1
68,19347,44996,1
69,19347,37051,1
70,19347,34644,1
71,19347,33493,1
72,19347,32454,1
73,19347,28450,1
74,19414,35426,1
75,19347,25142,1
76,19343,40618,1
77,19343,33395,1
78,19343,31380,1
79,19329,49259,1
80,19316,24219,1
81,19303,45467,1
82,19303,42563,1
83,19303,35339,1
84,19303,29418,1
85,19262,46783,1
86,19252,46200,1
87,19252,44614,1
88,19347,21241,1
89,19414,40937,1
90,19428,20068,1
91,19428,27198,1
92,19447,35206,1
93,19447,32452,1
94,19447,32194,1
95,19447,31380,1
96,19447,30568,1
97,19447,30304,1
98,19447,30229,1
99,19447,26367,1
100,19447,26144,1
101,19447,25785,1
102,19447,25528,1
103,19447,25284,1
104,19447,23713,1
105,19447,21360,1
106,19447,20624,1
107,19447,20497,1
108,19447,20078,1
109,19428,45091,1
110,19428,44745,1
111,19428,44510,1
112,19428,42202,1
113,19428,40043,1
114,19428,39727,1
115,19428,34875,1
116,19428,33796,1
117,19428,27544,1
118,19428,27420,1
119,19447,36795,1
120,19252,40549,1
121,19467,44745,1
122,19467,49329,1
123,19518,33493,1
124,19518,31921,1
125,19518,27546,1
126,19515,46250,1
127,19515,46211,1
128,19515,41777,1
129,19515,39858,1
130,19515,34472,1
131,19515,33634,1
132,19515,33493,1
133,19515,30703,1
134,19515,27486,1
135,19518,35134,1
136,19515,27173,1
137,19515,23786,1
138,19515,23123,1
139,19515,20024,1
140,19513,48809,1
141,19513,48660,1
142,19513,48625,1
143,19513,48188,1
144,19513,47969,1
145,19513,47383,1
146,19513,46927,1
147,19513,46512,1
148,19513,45850,1
149,19515,26372,1
150,19518,39087,1
151,19518,43175,1
152,19518,45180,1
153,19560,21639,1
154,19560,21323,1
155,19560,20889,1
156,19560,20857,1
157,19550,44780,1
158,19550,41043,1
159,19550,40178,1
160,19550,36665,1
161,19550,34532,1
162,19550,32401,1
163,19550,31114,1
164,19550,29700,1
165,19550,29199,1
166,19550,23393,1
167,19537,46470,1
168,19537,45091,1
169,19537,40902,1
170,19537,39416,1
171,19537,35426,1
172,19537,33918,1
173,19537,33020,1
174,19537,31253,1
175,19537,29213,1
176,19537,21136,1
177,19523,39777,1
178,19518,47863,1
179,19518,46487,1
180,19513,43308,1
181,19467,46942,1
182,19513,42851,1
183,19513,42358,1
184,19513,24199,1
185,19513,22041,1
186,19513,21576,1
187,19513,21519,1
188,19513,20696,1
189,19512,40182,1
190,19512,38111,1
191,19512,36661,1
192,19512,30607,1
193,19512,30540,1
194,19512,30471,1
195,19512,27586,1
196,19513,24686,1
197,19512,23076,1
198,19498,47637,1
199,19498,32463,1
200,19497,47244,1
201,19497,32934,1
202,19496,41711,1
203,19496,41695,1
204,19496,39987,1
205,19496,39836,1
206,19496,39764,1
207,19496,35601,1
208,19496,34699,1
209,19487,44027,1
210,19512,21896,1
211,19513,24911,1
212,19513,25444,1
213,19513,25450,1
214,19513,42097,1
215,19513,41992,1
216,19513,41566,1
217,19513,40178,1
218,19513,40023,1
219,19513,39663,1
220,19513,39470,1
221,19513,38648,1
222,19513,38235,1
223,19513,37312,1
224,19513,37050,1
225,19513,36275,1
226,19513,36264,1
227,19513,36016,1
228,19513,35657,1
229,19513,34611,1
230,19513,34521,1
231,19513,34151,1
232,19513,33903,1
233,19513,33493,1
234,19513,32640,1
235,19513,30398,1
236,19513,29083,1
237,19513,29075,1
238,19513,27544,1
239,19513,26606,1
240,19513,25592,1
241,19513,42436,1
242,19252,40074,1
243,19252,37051,1
244,19252,35766,1
245,19104,46977,1
246,19104,36696,1
247,19104,34210,1
248,19104,33862,1
249,19104,29418,1
250,19104,23496,1
251,19104,19943,1
252,19087,49547,1
253,19087,48888,1
254,19087,48248,1
255,19087,47969,1
256,19087,47048,1
257,19108,21241,1
258,19087,46626,1
259,19087,46011,1
260,19087,45850,1
261,19087,45056,1
262,19087,44780,1
263,19087,44638,1
264,19087,44417,1
265,19087,44166,1
266,19087,44019,1
267,19087,44012,1
268,19087,43517,1
269,19087,42306,1
270,19087,42097,1
271,19087,46183,1
272,19108,27463,1
273,19108,27486,1
274,19108,28452,1
275,19149,25450,1
276,19149,24124,1
277,19149,23253,1
278,19149,23065,1
279,19136,41043,1
280,19136,34417,1
281,19136,30358,1
282,19130,47312,1
283,19130,41659,1
284,19130,37027,1
285,19130,36498,1
286,19130,35390,1
287,19130,33812,1
288,19130,29419,1
289,19130,28088,1
290,19130,21861,1
291,19130,20926,1
292,19108,49328,1
293,19108,49186,1
294,19108,46927,1
295,19108,45966,1
296,19108,44801,1
297,19108,44388,1
298,19108,43308,1
299,19108,41711,1
300,19108,37051,1
301,19108,31150,1
302,19087,42052,1
303,19149,29700,1
304,19087,42038,1
