,product_x,product_y,weight
0,21,10569,1
1,15666,45201,1
2,15666,46893,1
3,15666,46921,1
4,15666,48505,1
5,15813,22958,1
6,15813,34363,1
7,15813,39741,1
8,15813,42236,1
9,15837,18015,1
10,15837,20694,1
11,15837,25714,1
12,15837,30810,1
13,15837,36821,1
14,15927,42624,1
15,15666,41582,1
16,15928,20860,1
17,15928,40302,1
18,16096,17460,1
19,16096,22762,1
20,16096,23290,1
21,16096,23544,1
22,16096,23850,1
23,16096,24115,1
24,16096,32549,1
25,16096,39961,1
26,16096,44069,1
27,16201,31644,1
28,16201,32472,1
29,16201,35956,1
30,16201,45201,1
31,15928,30744,1
32,15666,39961,1
33,15666,39484,1
34,15666,38054,1
35,15240,26532,1
36,15240,26859,1
37,15240,32005,1
38,15240,32472,1
39,15240,33138,1
40,15240,36690,1
41,15240,37520,1
42,15240,37920,1
43,15240,44545,1
44,15317,16669,1
45,15317,25345,1
46,15317,25860,1
47,15317,42941,1
48,15332,30733,1
49,15332,42340,1
50,15353,23850,1
51,15353,30476,1
52,15666,35956,1
53,15666,35412,1
54,15666,33273,1
55,15666,31676,1
56,15666,31644,1
57,15666,28821,1
58,16201,46893,1
59,15666,28815,1
60,15666,27678,1
61,15666,26589,1
62,15666,21564,1
63,15637,17451,1
64,15353,40441,1
65,15353,36821,1
66,15666,28472,1
67,15240,19889,1
68,16201,48505,1
69,16304,27377,1
70,16436,40403,1
71,16436,40794,1
72,16436,41647,1
73,16436,43368,1
74,16436,43476,1
75,16436,44905,1
76,16436,46921,1
77,16436,48711,1
78,16647,17460,1
79,16647,17494,1
80,16647,18489,1
81,16647,21751,1
82,16647,21963,1
83,16647,22513,1
84,16436,39601,1
85,16647,25359,1
86,16647,31644,1
87,16647,36954,1
88,16647,37164,1
89,16647,38054,1
90,16647,39161,1
91,16647,40441,1
92,16647,41582,1
93,16647,43368,1
94,16647,43500,1
95,16647,46128,1
96,16649,27793,1
97,16649,30772,1
98,16649,49355,1
99,16669,24115,1
100,16647,30371,1
101,16436,39484,1
102,16436,39474,1
103,16436,37164,1
104,16304,31676,1
105,16304,32472,1
106,16304,33476,1
107,16304,42660,1
108,16304,44545,1
109,16436,16647,1
110,16436,17222,1
111,16436,17882,1
112,16436,19368,1
113,16436,20096,1
114,16436,20359,1
115,16436,21397,1
116,16436,21435,1
117,16436,23290,1
118,16436,23437,1
119,16436,23544,1
120,16436,23593,1
121,16436,37068,1
122,16436,33074,1
123,16436,32591,1
124,16436,31426,1
125,16436,31319,1
126,16436,31265,1
127,16304,23437,1
128,16436,31018,1
129,16436,26757,1
130,16436,26532,1
131,16436,25650,1
132,16436,25586,1
133,16436,24605,1
134,16436,24210,1
135,16436,30666,1
136,16669,30464,1
137,15240,16304,1
138,15233,44545,1
139,14426,15353,1
140,14426,16669,1
141,14426,21684,1
142,14426,25860,1
143,14426,31501,1
144,14426,32168,1
145,14426,42941,1
146,14436,15927,1
147,14436,23437,1
148,14436,26859,1
149,14436,31644,1
150,14436,31747,1
151,14436,32748,1
152,14436,39601,1
153,14305,42941,1
154,14436,41519,1
155,14492,18260,1
156,14492,20273,1
157,14492,20359,1
158,14492,20860,1
159,14492,22150,1
160,14492,23593,1
161,14492,24210,1
162,14492,24234,1
163,14492,29010,1
164,14492,31644,1
165,14492,32591,1
166,14492,33930,1
167,14492,40403,1
168,14492,42502,1
169,14492,17332,1
170,14305,32711,1
171,14305,25978,1
172,14167,44947,1
173,13695,36967,1
174,13695,37520,1
175,13695,38054,1
176,13695,39161,1
177,13695,39484,1
178,13695,41582,1
179,13695,42003,1
180,13695,46921,1
181,13823,14305,1
182,13823,15837,1
183,13823,18015,1
184,13823,20694,1
185,13823,25978,1
186,13823,31676,1
187,13823,32711,1
188,13823,32870,1
189,13823,35714,1
