,product_x,product_y,weight
0,31,2295,1
1,14704,26723,1
2,14704,25720,1
3,14704,25588,1
4,14704,25230,1
5,14704,24737,1
6,14704,24390,1
7,14704,23697,1
8,14704,23322,1
9,14704,26985,1
10,14704,23087,1
11,14704,21295,1
12,14704,21183,1
13,14704,20869,1
14,14704,20632,1
15,14704,20601,1
16,14704,20393,1
17,14704,19084,1
18,14704,18656,1
19,14704,21872,1
20,14704,18359,1
21,14704,28555,1
22,14704,29328,1
23,14704,38207,1
24,14704,38028,1
25,14704,37385,1
26,14704,36961,1
27,14704,36956,1
28,14704,36418,1
29,14704,35072,1
30,14704,33816,1
31,14704,29307,1
32,14704,33055,1
33,14704,32652,1
34,14704,32465,1
35,14704,32197,1
36,14704,31805,1
37,14704,31557,1
38,14704,30756,1
39,14704,29675,1
40,14704,29398,1
41,14704,32827,1
42,14704,18078,1
43,14704,17400,1
44,14704,17313,1
45,14671,26497,1
46,14671,25715,1
47,14671,25647,1
48,14671,23532,1
49,14671,22024,1
50,14671,18394,1
51,14671,18359,1
52,14671,17752,1
53,14671,27020,1
54,14671,16759,1
55,14668,47890,1
56,14668,47209,1
57,14668,47145,1
58,14668,45007,1
59,14668,44717,1
60,14668,43014,1
61,14668,42633,1
62,14668,41950,1
63,14668,48681,1
64,14671,27771,1
65,14671,29668,1
66,14671,30227,1
67,14704,17123,1
68,14704,15758,1
69,14704,15592,1
70,14704,15503,1
71,14671,49217,1
72,14671,46667,1
73,14671,44359,1
74,14671,43768,1
75,14671,42873,1
76,14671,42315,1
77,14671,41273,1
78,14671,40516,1
79,14671,39922,1
80,14671,39408,1
81,14671,38739,1
82,14671,37687,1
83,14671,32624,1
84,14671,31553,1
85,14671,30278,1
86,14704,38220,1
87,14668,41743,1
88,14704,38299,1
89,14704,38557,1
90,14727,39928,1
91,14727,39877,1
92,14727,39693,1
93,14727,39032,1
94,14727,38562,1
95,14727,38399,1
96,14727,38051,1
97,14727,37892,1
98,14727,39993,1
99,14727,36695,1
100,14727,36114,1
101,14727,35939,1
102,14727,35551,1
103,14727,34358,1
104,14727,33816,1
105,14727,33158,1
106,14727,33055,1
107,14727,32905,1
108,14727,36164,1
109,14727,32864,1
110,14727,40073,1
111,14727,40706,1
112,14727,48364,1
113,14727,48299,1
114,14727,48205,1
115,14727,47734,1
116,14727,46785,1
117,14727,46618,1
118,14727,46069,1
119,14727,45063,1
120,14727,40516,1
121,14727,44750,1
122,14727,42495,1
123,14727,42265,1
124,14727,41950,1
125,14727,41787,1
126,14727,41540,1
127,14727,41259,1
128,14727,41135,1
129,14727,40723,1
130,14727,43789,1
131,14727,32689,1
132,14727,32467,1
133,14727,32177,1
134,14704,47759,1
135,14704,46738,1
136,14704,46294,1
137,14704,44910,1
138,14704,44636,1
139,14704,44580,1
140,14704,42483,1
141,14704,42411,1
142,14727,14897,1
143,14704,42315,1
144,14704,40712,1
145,14704,39993,1
146,14704,39844,1
147,14704,39693,1
148,14704,39621,1
149,14704,39558,1
150,14704,38739,1
151,14704,38562,1
152,14704,42208,1
153,14727,16349,1
154,14727,18119,1
155,14727,19049,1
156,14727,31648,1
157,14727,31248,1
158,14727,29941,1
159,14727,29675,1
160,14727,29586,1
161,14727,28990,1
162,14727,28703,1
163,14727,27771,1
164,14727,27336,1
165,14727,26940,1
166,14727,26648,1
167,14727,24390,1
168,14727,23819,1
169,14727,22624,1
170,14727,21903,1
171,14727,21174,1
172,14727,20383,1
173,14727,19678,1
174,14727,19282,1
175,14704,38419,1
176,14668,41565,1
177,14668,39991,1
178,14668,39922,1
179,14618,48364,1
180,14618,48264,1
181,14618,47890,1
182,14618,47145,1
183,14618,46979,1
184,14618,45771,1
185,14618,45007,1
186,14618,44580,1
187,14618,49381,1
188,14618,43789,1
189,14618,43122,1
190,14618,42868,1
191,14618,41950,1
192,14618,41357,1
193,14618,39991,1
194,14618,39812,1
195,14618,39275,1
196,14618,38996,1
197,14618,43772,1
198,14618,38995,1
199,14618,49383,1
200,14637,22935,1
201,14651,20818,1
202,14651,20383,1
203,14651,20073,1
204,14651,19049,1
205,14651,18810,1
206,14651,17633,1
207,14651,17592,1
208,14651,17033,1
209,14637,14992,1
210,14651,16958,1
211,14651,16566,1
212,14651,16505,1
213,14651,15758,1
214,14651,15592,1
215,14651,15178,1
216,14637,40338,1
217,14637,37646,1
218,14637,37067,1
219,14651,16837,1
220,14618,38777,1
221,14618,38504,1
222,14618,38456,1
223,14618,28157,1
224,14618,27841,1
225,14618,27104,1
226,14618,22312,1
227,14618,21938,1
228,14618,21903,1
229,14618,21616,1
230,14618,20114,1
231,14618,28199,1
232,14618,19048,1
233,14618,15937,1
234,14618,15290,1
235,14618,14992,1
236,14585,48999,1
237,14585,37244,1
238,14585,32465,1
239,14585,31055,1
240,14585,24852,1
241,14618,18135,1
242,14618,28204,1
243,14618,29792,1
244,14618,30305,1
245,14618,38400,1
246,14618,37646,1
247,14618,37271,1
248,14618,37065,1
249,14618,36695,1
250,14618,36070,1
251,14618,34969,1
252,14618,34126,1
253,14618,32710,1
254,14618,32689,1
255,14618,32446,1
256,14618,32429,1
257,14618,32189,1
258,14618,31958,1
259,14618,31915,1
260,14618,31553,1
261,14618,31492,1
262,14618,30406,1
263,14618,30391,1
264,14651,20869,1
265,14651,21142,1
266,14651,21292,1
267,14651,22467,1
268,14668,18119,1
269,14668,15200,1
270,14668,14948,1
271,14651,49356,1
272,14651,49083,1
273,14651,48825,1
274,14651,48264,1
275,14651,48038,1
276,14668,18432,1
277,14651,47862,1
278,14651,46266,1
279,14651,46010,1
280,14651,45771,1
281,14651,44227,1
282,14651,43668,1
283,14651,43513,1
284,14651,43460,1
285,14651,43442,1
286,14651,47404,1
287,14668,18460,1
288,14668,19057,1
289,14668,22247,1
290,14668,39408,1
291,14668,38456,1
292,14668,37504,1
293,14668,36226,1
294,14668,34358,1
295,14668,33740,1
